route_cd,route_name,internal_route_cd,ETM route_name,ETM Stage Codes
MRG107,VASCO-MRG RLY STN via CORTALIM,MRG107,107,VASCO-SHIPYARD-VADEM-CHICALIM-DABOLI-ZUYAR-ZAREER-S CONVENT-SANCOALE-CORTALIM-THANA-KSRL/BRLA X-TITAN-PIRNI-VERNA-SONAULIM-AGNEL ASHRM-RUMDER-NUVEM-MARGAO-MARGAO MKT-MRG RLY STN
MRG109,MARGAO-VASCO,MRG109,109,MARGAO-VASCO
MRG109,MARGAO-VASCO,MRG182,182,MARGAO-VASCO
MRG109,MARGAO-VASCO,VSD42,42,VASCO-MARGAO
MRG109,MARGAO-VASCO,VSD75,75,VASCO-MARGAO
MRG11,PANAJI-VASCO via CORTALIM,MRG11,11,PANAJI-ST. CRUZ X-BAMBOLI GMC-BAMBOLI W/S-SIRDON/ZUAR-GOA VELHA-PILLAR-AGASSAIM-CORTALIM-SANCOALE-S CONVENT-ZAREER-ZUYAR-DABOLI-CHICALIM-VADEM-SHIPYARD-VASCO
MRG11,PANAJI-VASCO via CORTALIM,PNJ2,2,PANAJI-ST. CRUZ X-BAMBOLI GMC-BAMBOLI W/S-SIRDON/ZUAR-GOA VELHA-PILLAR-AGASSAIM-CORTALIM-SANCOALE-S CONVENT-ZAREER-ZUYAR-DABOLI-CHICALIM-VADEM-SHIPYARD-VASCO
MRG11,PANAJI-VASCO via CORTALIM,VSD1,1,VASCO-SHIPYARD-VADEM-CHICALIM-DABOLI-ZUYAR-ZAREER-S CONVENT-SANCOALE-CORTALIM-AGASSAIM-PILLAR-GOA VELHA-SIRDON/ZUAR-BAMBOLI W/S-BAMBOLI GMC-ST. CRUZ X-PANAJI
MRG110,MARGAO-CURCHOREM,MRG110,110,MARGAO-CURCHOREM
MRG111,CURCHOREM-PANAJI via MARGAO,MRG111,111,CURCHOREM-MARGAO-PANAJI-PANAJI MKT
MRG113,MARGAO-TALEWADE via CUNCOLIM,MRG113,113,MARGAO-MARGAO MKT-NAVELIM-DHARMAPUR-CHINCHINI X-DANDEWADI-PAZARKHAN-CUNCOLIM-SANVORCOTTO-VERODA-TALWADO
MRG114,EV PANAJI-EV VALPOI via EV MARCEL,MRG114,114,EV PANAJI-EV R.PATTO-EVRBDR FERR-EV RIBANDAR-EV RBDRSCHO-EV STPEDRU-EV BAIGINI-EV OLD GOA-EV CORL/PUM-EV CORLIM-EVDHULAPI-EV BANASTAR-EV TIVRE/BU-EV TIVREM-EV MARCEL-EV KAND/TEM-EV AMONA-EV SEZA GAT-EV NAV/TEMP-EV NAVELIM-EV KUDNEM-EV GAWTHAN-EV SAKHALIM-EV HOUSIN B-EV HARVALE-EV PRATAP N-EV SUPA/PUD-EV HONDA-EV H/WADAKA-EV ACGL/SAL-EV BHUIPAL-EV KUMARKHA-EV REDIGHAT-EV NGVE/N C-EV VALPOI
MRG115,EV MARGAO-EV PANAJI,MRG115,115,EV MARGAO-EV FATORDA-EV M/PWD-EV ARLEM-EV R/AMYAKA-EV RAI-EV TEMBER-EV ANBORA-EV CH/DOCK-EV B/BRIDGE-EV SAI/TEMP-EV BORIM/SA-EV TOPCOLA-EV DHAVLI-EV PONDA-EV U/BAZAR-EV CURTI-EV KHNNDEPA-EV CH/W/SHO-EV HOLLY CR-EV NESTLE-EV MRF-EV U/TISK-EV KELINI-EV KUMYAKAD-EV USGAO-EV BHAMAI-EV PALE-EV BAIKADE-EV VELGE-EV SURLA-EV DIGNE-EV SONSHI-EV SONSHI T-EV AJOBA TE-EV SOL/TEMP-EV CHIRVAL-EV HONDA-EV SUPACHI/-EV PRATAPNA-EV HARVALE-EV H/BRD-EV SANKHALI-EV KAR/TISK-EV VIJAYNAG-EVADHAR HOS-EV SARVAN X-EV ZANTE/CO-EV BICHOLIM-EV VALSHI-EV MUL TEMP-EV MULGAO-EV ASSNODA-EV CLERRA S-EV SIRSAI C-EV SIR/RLY-EV CANSA/BR-EV TIVIMGRO-EV TIVIN-EV MADEL-EV KARASAWA-EV PEDEN/KW-EV DULER-EV M/COURT-EV MAPUSA-EV G/CHAPPL-EV G/PARK-EV G/CROSS-EV PRV BAZA-EV P/WADAKA-EV P/CHAPPL-EV GULYAKAD-EV T/BUILDI-EV SAINAGAR-EV PANAJI
MRG116,CURCHOREM-VAGON,MRG116,116,CURCHOREM-SAVORDE TSK-DHADE-GANDHINAGAR-GUDDEMOL-PERIUDAK-BANDOLI-BANDOL SCHL-VAGELY-MAYARGAL-KAMORCOND-HALLULI-SADGAL-VAGON
MRG118,EV PANAJI-EVPATRADEVI via EV PEDNE,MRG118,118,EV PANAJI-EV SAI SERV-EV T BUILDI-EV GULYAKAD-EV PRV CHAP-EV PRV WADA-EV PRVBAZAR-EV GIRIX-EV G PARK-EV GIRICHAP-EV MAPUSA-EV MAP CRT-EV DULER-EV PEDE KRN-EV KARASWAD-EV H BOARD-EV BINANI-EV COLVALE-EV MAHAKHAZ-EV DHARGAL-EV KULAN-EV OSHELBAG-EV WALPE-EV WALPE CO-EV MALPE-EV PEDNE-EV NAIBAG-EVSAT BRIDG-EV PORASKAD-EV RLYBRIDG-EV UGVE-EV TAMBOSHE-EV TORSHE-EV DHUSKI-EVPATRADEVI
MRG12,PANAJI-PONDA via KUNDAI,MRG12,12,PANAJI-R. PATTO-RBDR FERRY-RIBANDAR-RBDR SCHOOL-ST.PEDRO-BAINGINI-OLD GOA-CORLI PUMP-CORLIM-DHULAPI-BANASTARI-BHOMA-KUNDAI-MANGESHI-MARDOL-PATYEKADE-FARMAGUDI-FMD CIRCLE-PONDA
MRG12,PANAJI-PONDA via KUNDAI,PNJ12,12,PANAJI-R. PATTO-RBDR FERRY-RIBANDAR-RBDR SCHOOL-ST.PEDRO-BAINGINI-OLD GOA-CORLI PUMP-CORLIM-DHULAPI-BANASTARI-BHOMA-KUNDAI-MANGESHI-MARDOL-PATYEKADE-FARMAGUDI-FMD CIRCLE-PONDA
MRG12,PANAJI-PONDA via KUNDAI,PRV17,17,PANAJI-R. PATTO-RBDR FERRY-RIBANDAR-RBDR SCHOOL-ST.PEDRO-BAINGINI-OLD GOA-CORLI PUMP-CORLIM-DHULAPI-BANASTARI-BHOMA-KUNDAI-MANGESHI-MARDOL-PATYEKADE-FARMAGUDI-FMD CIRCLE-PONDA
MRG12,PANAJI-PONDA via KUNDAI,VSD12,12,PANAJI-R. PATTO-RBDR FERRY-RIBANDAR-RBDR SCHOOL-ST.PEDRO-BAINGINI-OLD GOA-CORLI PUMP-CORLIM-DHULAPI-BANASTARI-BHOMA-KUNDAI-MANGESHI-MARDOL-PATYEKADE-FARMAGUDI-FMD CIRCLE-PONDA
MRG120,PANAJI-KARWAR via MARGAO,MRG120,120,PANAJI-ST. CRUZ X-BAMBOLI GMC-BAMBOLI W/S-SIRDON/ZUAR-GOA VELHA-PILLAR-AGASSAIM-CORTALIM-PAJENTAR-KSRL/BRLA X-TITAN-PIRNI-VERNA-SONAULIM-AGNEL ASHRM-RUMDER-NUVEM-MARGAO-MARGAO MKT-NAVELIM-DHARMAPUR-CHINCHINI X-DANDEWADI-PAZORKHAN-CUNCOLIM-DEMANI-BALLI-BENODE-GODEWAL-PADDI-PISURNEM-POLAKODE-GULEM-CHAR RASTA-CANACONA-SHRISTHAL-MOKHARD-BHATPAL-ARDOFOND-PARTGAL-PRSHURM TMP-POIGUINIM-KARAY-MASHEM-DAPOT-LOLYE-XELIM-POLLEM BDR-MAZALI-SADASHIVGAD-KARWAR
MRG120,PANAJI-KARWAR via MARGAO,PNJ129,129,PANAJI-ST. CRUZ X-BAMBOLI GMC-BAMBOLI W/S-SIRDON/ZUAR-GOA VELHA-PILLAR-AGASSAIM-CORTALIM-PAJENTAR-KSRL/BRLA X-TITAN-PIRNI-VERNA-SONAULIM-AGNEL ASHRM-RUMDER-NUVEM-MARGAO-MARGAO MKT-NAVELIM-DHARMAPUR-CHINCHINI X-DANDEWADI-PAZARKHAN-CUNCOLIM-DEMANI-BALLI-BENODE-GODEWAL-PADDI-PISURNEM-POLAKODE-GULEM-CHAR RASTA-CANACONA-SHRISTHAL-MOKHARD-BHATPAL-ARDOFOND-PARTGAL-PRSHURM TMP-POIGUINIM-KARAY-MASHEM-DAPOT-LOLYE-XELIM-POLLEM BDR-MAZALI-SADASHIVGAD-KARWAR
MRG121,MARGAO-KARWAR via CANACONA,MRG121,121,MARGAO-MARGAO MKT-NAVELIM-DHARMAPUR-CHINCHINI X-DANDEWADI-PAZORKHAN-CUNCOLIM-DEMANI-BALLI-BENODE-GODEWAL-PADDI-PISURNEM-POLAKODE-GULEM-CHAR RASTA-CANACONA-SHRISTHAL-MOKHARD-BHATPAL-ARDOFOND-PARTGAL-PRSHURM TMP-POIGUINIM-KARAY-MAXEM-DAPOT-LOLYE-XELIM-POLLEM BDR-MAZALI-SADASHIVGAD-KARWAR
MRG122,CURCHOREM-KARWAR via CUNCOLIM,MRG122,122,CURCHOREM-BANSAI-KAKUMADDI-TANKI-TILAMOL-QPM COURT-QUEPEM-AMOLEM-AKAMOL-POWERHOUSE-SAWARKATTA-CUNCOLIM-DEMANI-BALLI-BENODE-GODEWAL-PADDI-PISURNEM-POLAKODE-GULEM-CHAR RASTA-CANACONA-SHRISTHAL-MOKHARD-BHATPAL-ARDOFOND-PARTGAL-PRSHURM TMP-POIGUINIM-KARAY-MASHEM-DAPOT-LOLYE-XELIM-POLLEM BDR-MAZALI-SADASHIVGAD-KARWAR
MRG123,MARGAO-GOKARNA via KARWAR,MRG123,123,MARGAO-MARGAO MKT-CUNCOLIM-BALLI-PISURNEM-CANACONA-SHRISTHAL-MOKHARD-BHATPAL-ARDOFOND-PARTGAL-PRSHURM TMP-POIGUINIM-KARAY-MAXEM-DAPOT-LOLYE-XELIM-POLLEM BDR-MAZALI-SADASHIVGAD-KARWAR-AWARSA-ANKOLA-MADANGIRI-DEVNA-GOKARNA
MRG124,MARGAO-BELGAVI CBT via CURCHOREM,MRG124,124,MARGAO-MARGAO MKT-RAWANFOND-DON KHURIS-GUDI-PARODA-QUEPEM-TILAMOL-CURCHOREM-BANDOLI-KIRLPAL-CODLI TISK-DHARBANDORA-DHATFARM-MOLLEM-GOA BORDER-ANMOD-TINAI GHAT-RAMNAGAR-LONDA-GUNJI-KHANAPUR-PIRANWADI-BELGAVI RLY-BELGAVI CBT
MRG125,MARGAO-BELGAVI CBT via ANMOD,MRG125,125,MARGAO-FATORDA-BORIM-PONDA-USGAO TISK-DHARBANDORA-DHATFARM-MOLLEM-GOA BORDER-ANMOD-TINAI GHAT-RAMNAGAR-LONDA-GUNJI-KHANAPUR-PIRANWADI-BELGAVI RLY-BELGAVI CBT
MRG125,MARGAO-BELGAVI CBT via ANMOD,PNJ126,126,MARGAO-FATORDA-BORIM-PONDA-USGAO TISK-DHARBANDORA-DHATFARM-MOLLEM-GOA BORDER-ANMOD-TINAI GHAT-RAMNAGAR-LONDA-GUNJI-KHANAPUR-PIRANWADI-BELGAVI RLY-BELGAVI CBT
MRG126,MARGAO-HUBALI via ANMOD,MRG126,126,MARGAO-FATORDA-BORIM-PONDA-USGAO TISK-DHARBANDORA-DHATFARM-MOLLEM-GOA BORDER-ANMOD-TINAI GHAT-RAMNAGAR-KUMBARDA-NAGARGALI-TAVARKATTI-GODHALI-ALNAVAR-DHARWAD-HUBALI
MRG128,MARGAO-KOLHAPUR via BELGAVI CBT,MRG128,128,MARGAO-FATORDA-BORIM-PONDA-USGAO TISK-DHARBANDORA-DHATFARM-MOLLEM-GOA BORDER-ANMOD-TINAI GHAT-RAMNAGAR-LONDA-GUNJI-KHANAPUR-PIRANWADI-BELGAVI RLY-BELGAVI CBT-HATTARGI-SANKESHWAR-NIPPANI-KA.MH BORDER-KAGAL-MIDC JUNCTN-KOLHAPUR
MRG129,MARGAO-KOLHAPUR via SAWANTWADI,MRG129,129,MARGAO-TITAN-CORTALIM-PILLAR-BAMBOLI GMC-PANAJI-TIN BLD/COL-GULYAKADE-PRV BAZAR-GUIRIM-MAPUSA-KARASWADA-COLVALE-DHARGAL-PEDNE-STD. BRIDGE-PORASKADE-UGVE-TORSHE-PATRADEVI-BANDA-SAWANTWADI-AKERI-ZARAP-KUDAL-PANDUR-ORAS-KASAL-OSARGAO-KANKAVLI-HUMRAT-NANGAO-TALARA-VAIBHAVWADI-GAGANBAWDA-SALVON-KALE-RANKALA-KOLHAPUR
MRG13,PANAJI-SHIRODA,MRG13,13,PANAJI-ST. CRUZ X-BAMBOLI GMC-BAMBOLI W/S-SIRDON/ZUAR-GOA VELHA-PILLAR-AGASSAIM-CORTALIM-PAJENTAR-KSRL/BRLA X-TITAN-CIPLA-TITAN-KSRL/BRLA X-THANA-CORPAWADA-KELOSI-RASSAIM DOK-RASSAIM FRY-ANGDI-LOTULIM-CHWGULE DOK-BORI BRDG-TARVALEM-VAZEM-SHIRODA
MRG130,MARGAO-MIRAJ via RADHANAGRI,MRG130,130,MARGAO-TITAN-CORTALIM-PILLAR-BAMBOLI GMC-PANAJI-TIN BLD/COL-GULYAKADE-PRV BAZAR-GUIRIM-MAPUSA-KARASWADA-COLVALE-DHARGAL-PEDNE-STD. BRIDGE-PORASKADE-UGVE-TORSHE-PATRADEVI-BANDA-SAWANTWADI-AKERI-ZARAP-KUDAL-PANDUR-ORAS-KASAL-OSARGAO-KANKAVLI-FONDAGHAT-DAJIPUR-RADHANAGRI-BHOGAWATI-VASHINAKA-RANKALA-KOLHAPUR-HATHKALAGNE-JAISINGPUR-SANGLI-MIRAJ
MRG131,MARGAO-SAWANTWADI via PATRADEVI,MRG131,131,MARGAO-NUVEM-RUMDER-AGNEL ASHRM-SONAULIM-VERNA-PIRNI-TITAN-KSRL/BRLA X-PAJENTAR-CORTALIM-AGASSAIM-PILLAR-GOA VELHA-SIRDON/ZUAR-BAMBOLI W/S-BAMBOLI GMC-ST. CRUZ X-PANAJI-SAI SERVICE-TIN BLD/COL-GULYAKADE-PRV COPEL-PRV WADAKAD-PRV BAZAR-GIRI CROSS-GREEN PARK-GIRI CHAPEL-MAPUSA-MPS COURT-DULER-PDEM/KRWDA-KARASWADA-C HUSIG BRD-BINANI-COLVALE-MAHAKHAJAN-DHARGAL-KULAN-OSHELBAG-WALPE-WALPE COLGE-MALPE-PEDNE-NAIBAG-STD. BRIDGE-PORASKADE-RLY O/BRIDG-UGVE-TAMBOSHE-TORSHE-DHUSKI-PATRADEVI-BANDA-KONDWADA-XETRAFAL-MAZGAO/NALA-SAWANTWADI
MRG132,MARGAO-MALVAN via MALEWAD,MRG132,132,MARGAO-TITAN-CORTALIM-PILLAR-BAMBOLI GMC-PANAJI-GULYAKADE-PRV BAZAR-MAPUSA-KARASWADA-COLVALE-DHARGAL-WALPE-PEDNE-NAIBAG-STD. BRIDGE-SATARDA-SATELI-AROS TITA-KONDURA TIT-MALEWAD-W.MALEWAD-FOREST CHUK-GHODEMUKH-NAVELI-NIRWADE-MALGAO RLY-MALGAO BZR-SAWANTWADI-AKERI-ZARAP-UDYAM NAGAR-SRM COLLAGE-KUDAL-JAKAT NAKA-THAKURWADI-NERURPAR-KALSHE-DHAMAPUR-GAVALDEV-GODHANWADI-CHAUKE-AZGAONKAR-ANAND/G.DKN-KUMBHARMATH-MALVAN
MRG134,MARGAO-BELGAVI CBT,MRG134,134,MARGAO-MARGAO MKT-RAWANFOND-DON KHURIS-GUDI-PARODA-QUEPEM-TILAMOL-CURCHOREM-BANDOLI-KIRLPAL-CODLI TISK-DHARBANDORA-USGAO TISK-KOTMBI/SURL-SANKHALI-KERI-JAMBLIKADE-CHORLA BDR-CHORLA-CHAUKI-KANKUMBI-BETNE-AMTA-JAMBOTI-PIRANWADI-BELGAVI RLY-BELGAVI CBT
MRG135,MARGAO-KOLHAPUR,MRG135,135,MARGAO-FATORDA-BORIM-PONDA-USGAO TISK-KOTMBI/SURL-SANKHALI-KERI-JAMBLIKADE-CHORLA BDR-CHORLA-CHAUKI-KANKUMBI-BETNE-AMTA-JAMBOTI-PIRANWADI-BELGAVI RLY-BELGAVI CBT-HATTARGI-SANKESHWAR-NIPPANI-KAGAL-MIDC JUNCTN-KOLHAPUR
MRG136,MARGAO-HUBALI via CHORLA,MRG136,136,MARGAO-FATORDA-BORIM-PONDA-USGAO TISK-VADAKADE-AMULI-KOTHAMBI-SURLA-NHAVELI-KUDNE-SANKHALI-PARYE-KERI-JAMBLIKADE-CHORLA BDR-CHORLA-CHAUKI-KANKUMBI-BETNE-AMTA-JAMBOTI-KHANAPUR-BIDI-ALNAVAR-DHARWAD-HUBALI
MRG137,MARGAO-BELGAVI CBT,MRG137,137,MARGAO-FATORDA-BORIM-PONDA-USGAO TISK-KOTMBI/SURL-SANKHALI-KERI-JAMBLIKADE-CHORLA BDR-CHORLA-CHAUKI-KANKUMBI-BETNE-AMTA-JAMBOTI-PIRANWADI-BELGAVI RLY-BELGAVI CBT
MRG138,MARGAO-MACAZAN,MRG138,138,MARGAO-BORDA-CHWGULE CLG-SONSODO-MAINA-CURTORIM-CARME CHAPL-TEMBI-MACAZAN
MRG139,PONDA-SECRETARIAT via PANAJI,MRG139,139,PONDA-PANAJI-SECRETARIAT
MRG14,PANAJI-CURCHOREM via PONDA,MRG14,14,PANAJI-R. PATTO-RBDR FERRY-RIBANDAR-RBDR SCHOOL-ST.PEDRO-BAINGINI-OLD GOA-CORLI PUMP-CORLIM-DHULAPI-BANASTARI-BHOMA-KUNDAI-MANGESHI-MARDOL-PATYEKADE-FARMAGUDI-FMD CIRCLE-PONDA-DHAVLI-TOP COLA-BORI SKVR-SAI TMPLE-BORI BRDG-TARVALEM-VAZEM-SHIRODA-DABOLI-MANKE-VAZANGAL-AMLI-PANCHWADI-P.TEMPLE-DAM ROAD-MAPA-CAPXEM-SAVORDE TSK-CURCHOREM
MRG14,PANAJI-CURCHOREM via PONDA,PRV9,9,PANAJI-R. PATTO-RBDR FERRY-RIBANDAR-RBDR SCHOOL-ST.PEDRO-BAINGINI-OLD GOA-CORLI PUMP-CORLIM-DHULAPI-BANASTARI-BHOMA-KUNDAI-MANGESHI-MARDOL-PATYEKADE-FARMAGUDI-FMD CIRCLE-PONDA-DHAVLI-TOP COLA-BORI SKVR-SAI TMPLE-BORI BRDG-TARVALEM-VAZEM-SHIRODA-DABOLI-MANKE-VAZANGAL-AMLI-PANCHWADI-P.TEMPLE-DAM ROAD-MAPA-CAPXEM-SAVORDE TSK-CURCHOREM
MRG140,MARGAO-GSPCB via CORTALIM,MRG140,140,MARGAO-VERNA-CORTALIM-PANAJI-GSPCB
MRG141,PANAJI-SUBDALEM via CUNCOLIM,MRG141,141,PANAJI-ST. CRUZ X-BAMBOLI GMC-BAMBOLI W/S-SIRDON/ZUAR-GOA VELHA-PILLAR-AGASSAIM-CORTALIM-PAJENTAR-KSRL/BRLA X-TITAN-PIRNI-VERNA-SONAULIM-AGNEL ASHRM-RUMDER-NUVEM-MARGAO-MARGAO MKT-NAVELIM-DHARMAPUR-CHINCHINI X-DANDEWADI-PAZARKHAN-CUNCOLIM-DEMANI-BALLI-BENODE-GODEWAL-SUBDALE X-SUBDALEM
MRG142,MARGAO-POLLEM via CANACONA,MRG142,142,MARGAO-MARGAO MKT-NAVELIM-DHARMAPUR-CHINCHINI X-DANDEWADI-PAZORKHAN-CUNCOLIM-DEMANI-BALLI-BENODE-GODEWAL-PADDI-PISURNEM-POLAKADE-GULEM-CHAR RASTA-CANACONA-SHRISTHAL-MOKHARD-BHATPAL-ARDOFOND-PARTGAL-PRSHURM TMP-POIGUINIM-KARAY-MAXEM-DAPOT-LOLYE-XELIM-POLLEM
MRG142,MARGAO-POLLEM via CANACONA,MRG309,309,MARGAO-MARGAO MKT-NAVELIM-DHARMAPUR-CHINCHINI X-DANDEWADI-PAZORKHAN-CUNCOLIM-DEMANI-BALLI-BENODE-GODEWAL-PADDI-PISURNEM-POLAKADE-GULEM-CHAR RASTA-CANACONA-SHRISTHAL-MOKHARD-BHATPAL-ARDOFOND-PARTGAL-PRSHURM TMP-POIGUINIM-KARAY-MAXEM-DAPOT-LOLYE-XELIM-POLLEM
MRG147,MARGAO-SECRETERIAT,MRG147,147,MARGAO-SECRETERIAT
