ETM route num,Start,Via,End,Bus Type,Start code,Via code,End code,Binding ID,TARA ID,Include,Type,Stages,Route type,Route code,Route No.,Routes to be added,265,ETM routes,Routes to be removed,,,
mrg14,MARGAO,POIGINIM,KHARGAL,ORDINARY,MRG,PNGN,KHRGL,#N/A,#N/A,Y,O,22,,MRG-PNGN-KHRGL,mrg14,,,,,,,
mrg140,PANAJI,MARCEL,VALPOI,ORDINARY,PNJ,MRCL,VLP,0,59,Y,O,23,,PNJ-MRCL-VLP,mrg140,,,,,,,
mrg141,MARGAO,SADOLXEM,LOLYEM,ORDINARY,MRG,SDLX,LLYE,#N/A,#N/A,Y,O,22,,MRG-SDLX-LLYE,mrg141,,,,,,,
mrg142,PANAJI,CORTALIM,CANACONA,ORDINARY,PNJ,CRT,CNC,#N/A,#N/A,Y,O,17,,PNJ-CRT-CNC,mrg142,,,,,,,
mrg143,CURCHOREM P,BALLI,KARWAR,ORDINARY,CURCH,BALI,KWR,#N/A,#N/A,Y,O,27,,CURCH-BALI-KWR,mrg143,,,,,,,
mrg144,MARGAO,PND TISK,VAIPOI,ORDINARY,MRG,PND TSK,VLP,#N/A,#N/A,Y,O,23,,MRG-PND TSK-VLP,mrg144,,,,,,,
mrg145,CHURCHORE P,KEPEM BALLI,TUDLA,ORDINARY,CURCH,QPM BALI,TDL,#N/A,#N/A,Y,O,23,,CURCH-QPM BALI-TDL,mrg145,,,,,,,
mrg146,PANAJI,SADOLXEM,LOLYE,ORDINARY,PNJ,SDLX,LLYE,#N/A,#N/A,Y,O,27,,PNJ-SDLX-LLYE,mrg146,,,,,,,
mrg147,MARGAO,CORTALIM,PANAJI,AC LUXURY,MRG,CRT,PNJ,#N/A,#N/A,Y,AC,18,,MRG-CRT-PNJ,mrg147,,,,,,,
mrg148,CURCHOREM,CHANDOR,PANAJI,SHUTTLE,CURCH,CNDR,PNJ,#N/A,#N/A,N,S,2,S,NOT INCLUDED,mrg148,,,,,,,
mrg149,MARGAO,PONDA,BELGAO,EXPRESS,MRG,PND,BGM,#N/A,#N/A,N,IS,2,X,NOT INCLUDED,mrg149,,,,,,,
mrg15,MARGAO,CURCHOREM,MOLLEM,ORDINARY,MRG,CURCH,MLM,#N/A,#N/A,Y,O,23,,MRG-CURCH-MLM,mrg15,,,,,,,
mrg150,PANAJI,OLD GOA,BAINGINIM,EXPRESS,PNJ,OGA,BNGN,#N/A,#N/A,N,,2,X,NOT INCLUDED,mrg150,,,,,,,FALSE
mrg151,KARMALI RLY,OLD GOA,BAINGINIM,EXPRESS,KRML RLY,OGA,BNGN,#N/A,#N/A,Y,SEASONAL,2,X,X:KRML RLY-OGA-BNGN,mrg151,,,,,,,
mrg152,PANAJI,OLD GOA,GOA DARSHAN,EXPRESS,PNJ,OGA,0,#N/A,#N/A,N,,2,X,NOT INCLUDED,mrg152,,,,,,,
mrg153,MARGAO,BORIM,PONDA,SHUTTLE,MRG,BRM,PND,#N/A,#N/A,N,S,2,S,NOT INCLUDED,mrg153,,,,,,,
mrg154,MARGAO,CHANDOR,CURCHOREM,ORDINARY,MRG,CNDR,CURCH,#N/A,#N/A,Y,O,14,,MRG-CNDR-CURCH,mrg154,,,,,,,
mrg155,CURCHOREM,CHANDOR,PANAJI,ORDINARY,CURCH,CNDR,PNJ,#N/A,#N/A,Y,O,22,,CURCH-CNDR-PNJ,mrg155,,,,,,,
mrg156,MARGAO,CHINCHINI,VELLIM,ORDINARY,MRG,CHCHN,VLM,#N/A,#N/A,Y,O,11,,MRG-CHCHN-VLM,mrg156,,,,,,,
mrg157,PONDA,U.TISK,GMFC DAYANA,,PND,U.TSK,DNGR,#N/A,#N/A,Y,College Trp,7,,PND-U.TSK-DNGR,mrg157,,,,,,,
mrg16,PANJIM,LOTULIM/PND,CUNCOLIEN,ORDINARY,PNJ,LTL/PND,CNCL,#N/A,#N/A,Y,O,25,,PNJ-LTL/PND-CNCL,mrg16,,,,,,,
mrg17,MARGAO,CHANDOR,CURCHOREM,SHUTTLE,MRG,CNDR,CURCH,#N/A,#N/A,Y,S,2,S,S:MRG-CNDR-CURCH,mrg17,,,,,,,
mrg18,MARGAO,CANACONA,KUSKEM,ORDINARY,MRG,CNC,KSK,#N/A,#N/A,Y,O,22,,MRG-CNC-KSK,mrg18,,,,,,,
mrg19,CAB-DE-RAM,AGONDA,CANACONA,ORDINARY,CBDRM,AGND,CNC,#N/A,#N/A,Y,O,16,,CBDRM-AGND-CNC,mrg19,,,,,,,
mrg2,MARGAO,RADHANAGARI,MIRAJ,EXPRESS,MRG,RDNGR,MRJ,#N/A,#N/A,Y,IS,28,X,X:MRG-RDNGR-MRJ,mrg2,,,,,,,
mrg20,MARGAO,BALLI,CAB-DE-RAM,ORDINARY,MRG,BALI,CBDRM,#N/A,#N/A,Y,O,14,,MRG-BALI-CBDRM,mrg20,,,,,,,
mrg21,MARGAO,KEPEM,PIRLA,ORDINARY,MRG,QPM,PRL,#N/A,#N/A,Y,O,13,,MRG-QPM-PRL,mrg21,,,,,,,
mrg22,MARGAO,KEPEM / CRH,NETURLIM,ORDINARY,MRG,QPM/,NTL,#N/A,#N/A,Y,O,25,,MRG-QPM/-NTL,mrg22,,,,,,,
mrg23,MARGAO,CHANDOR,KALAY,ORDINARY,MRG,CNDR,KLY,#N/A,#N/A,Y,O,16,,MRG-CNDR-KLY,mrg23,,,,,,,
mrg24,MARGAO,BORIM,PONDA,ORDINARY,MRG,BRM,PND,#N/A,#N/A,Y,O,10,,MRG-BRM-PND,mrg24,,,,,,,
mrg25,MARGAO,SHIRODA,KAMARKHAN,ORDINARY,MRG,SRD,KMRKN,#N/A,#N/A,Y,O,19,,MRG-SRD-KMRKN,mrg25,,,,,,,
mrg26,MARGAO,PONDA,SAVAI S.BHT,ORDINARY,MRG,PND,SVAI,#N/A,#N/A,Y,O,18,,MRG-PND-SVAI,mrg26,,,,,,,
mrg27,PANJIM,U.TISK,ZARME,ORDINARY,PNJ,U.TSK,ZRM,#N/A,#N/A,Y,O,28,,PNJ-U.TSK-ZRM,mrg27,,,,,,,
mrg28,MARGAO,U.TISK,SAL,ORDINARY,MRG,U.TSK,SAL,#N/A,#N/A,Y,O,30,,MRG-U.TSK-SAL,mrg28,,,,,,,
mrg29,MARGAO,PALI/ BICH.,PANJIM,ORDINARY,MRG,PALI/BCH,PNJ,#N/A,#N/A,Y,O,36,,MRG-PALI/BCH-PNJ,mrg29,,,,,,,
mrg3,MARGAO,GAGANBAVDA,KOLHAPUR,EXPRESS,MRG,GGNB,KLPR,#N/A,#N/A,Y,IS,31,X,X:MRG-GGNB-KLPR,mrg3,,,,,,,
mrg30,MARGAO,CANACONA,TUDAL,ORDINARY,MRG,CNC,TDL,#N/A,#N/A,Y,O,20,,MRG-CNC-TDL,mrg30,,,,,,,
mrg31,MARGAO,AMONA/KEPEM,CURCHOREM,ORDINARY,MRG,AMN/QPM,CURCH,#N/A,#N/A,Y,O,13,,MRG-AMN/QPM-CURCH,mrg31,,,,,,,
mrg32,MARGAO,ARLEM/ RAI,SHIRODA,ORDINARY,MRG,ARLM/RAI,SRD,#N/A,#N/A,Y,O,9,,MRG-ARLM/RAI-SRD,mrg32,,,,,,,
mrg33,MARGAO,PILLR/MARCL,BICHOLIM,ORDINARY,MRG,PLR/MRCL,BCH,#N/A,#N/A,Y,O,29,,MRG-PLR/MRCL-BCH,mrg33,,,,,,,
mrg34,MARGAO,CORTALIM,PANAJI,ORDINARY,MRG,CRT,PNJ,#N/A,#N/A,Y,O,18,,MRG-CRT-PNJ,mrg34,,,,,,,
mrg35,MARGAO,CANSAULIM,PANAJI,ORDINARY,MRG,CNSL,PNJ,#N/A,#N/A,Y,O,17,,MRG-CNSL-PNJ,mrg35,,,,,,,
mrg36,MARGAO,THANA,HARBOUR,ORDINARY,MRG,THNA,HRB,#N/A,#N/A,Y,O,20,,MRG-THNA-HRB,mrg36,,,,,,,
mrg37,MARGAO,ZUARI NAGER,HARBOUR,ORDINARY,MRG,,HRB,#N/A,#N/A,Y,O,18,,MRG--HRB,mrg37,,,,,,,
