BUS_STOP_CD	BUS_STOP_NM	Latitude	Longitude
KEKDI	KEKATWADI		
KEKDIKKL	KEKATWADI		
KKTWD	KEKATWADI		
KKHLE	KEKHALE		
KKDFTAY	KEKODH FATA		
KKWN	KEKWAN		
KLAIB	KEL		
KLWAIAIB	KEL WADI		
KLAIA	KELA FACTORY		
KLKU	KELA KHURD		
KLBUR	KELABUDRUK		
KELADFT	KELAD FATA		
KEAO	KELADWADI NO. 2		
KELH	KELAKAR SHOP		
KEABE	KELAMBE		
KLMBLNR	KELAMBE BUDDHWADI		
KAMBERJR	KELAMBEKAR WADI		
KLNDOR	KELAN FATA		
KLNKDR	KELANE BRIDGE		
KLAEKDRT	KELANE FATA		
KANEKER	KELANE GAVATHAN		
KLNIL	KELANI		
KLPAIATA	KELAPANI		
KLPNN	KELAPANI		
KLPNIATA	KELAPANI ROAD		
KEUR	KELAPUR		
KLPPY	KELAPUR		
KLPUDW	KELAPUR		
KLPRFT	KELAPUR FATA		
KEPU	KELAPUR PARVA FATA		
KLPU	KELAPUR POWER FATA		
KLSDOR	KELASHI BAZARPETH		
KLPM	KELASHI PIMPARPAR		
KAARNK	KELASKAR NAKA		
KELAT	KELAT		
KEAAN	KELATHAN		
KLVAR	KELAVA RD. NAKA		
KEADE	KELAVADE		
KLVL	KELAVALI		
KLVRAR	KELAVALI		
KAVALRJR	KELAVALI SCHOOL NO 1		
KLVLJR	KELAVALI SURVE DUKAN		
KEAN	KELAVAN		
KEANE	KELAVANE		
KLHSC	KELAVANE HIGH SCHOOL		
KEAV	KELAVANE NO. 2		
KEAP	KELAVATE PATTI		
KLVPGR	KELAVE		
KLVEB	KELAVE BAZAR		
KVF	KELAVE FATA		
KALIBG	KELAVLI BRIDGE		
KLWRAR	KELAWADE		
KLWLJR	KELAWALI SURVE HOTEL		
KLBGL	KELBAUG		
KLCW	KELECHI WADI		
KLRDWY	KELERDI		
KEVAILNR	KELEVAIL SURVE STOP		
KLW	KELEWADI		
KLWAI	KELEWADI		
KLWAISDP	KELEWADI		
KLWBKL	KELEWADI		
KLWEPS	KELEWADI		
KLWADOS	KELEWADI FATA		
KLWDGS	KELEWADI SATPURUSH MANDIR		
KLGNFT	KELGAN FATA		
KLGNWD	KELGAN KAMAT WADI		
KLGNMRWD	KELGAN MOREWADI		
KLGNMLGN	KELGAN MULGAON		
KEGON	KELGAON		
KLAONLT	KELGAON		
KLAORLT	KELGAON		
KLAONL	KELGAON PATI		
KLEASAN	KELGEAR		
KELG	KELGHAR		
KLHAMAT	KELGHAR		
KLHAMDR	KELGHAR		
KLGHRFSHI	KELGHAR FARSHI		
KLHRRAR	KELGHAR FATA		
KLAASAR	KELHADA		
KELI	KELI		
KELIAA	KELI		
KELIS	KELI		
KLWCRA	KELI		
KLFTH	KELI FATA		
KLSN	KELI FATA		
KELIPD	KELI PADA		
KLAA	KELI VILLAGE		
KLIKH	KELI VILLEGE		
KLCHJRT	KELICHA FATA		
KLCKDR	KELICHA KOND		
KCPDL	KELICHA PADA		
KLCAA	KELICHABANDA/LADGAON/AMBEGAWAN/		
KLCHP	KELICHAPADA		
KLCHPWT	KELICHAPADA		
KLCHPWAT	KELICHAPDA		
KIHIWD	KELICHI WADI		
KLCH	KELICHI WADI		
KLCHSNR	KELICHI WADI		
KLCHWMAR	KELICHIWADI		
KLGAA	KELIGAVAN		
KLGAH	KELIGAVHAN X RD.		
KLBHFT	KELIL BHOPAN FATA		
KLLDOR	KELIL CHAFA (KATAL)		
KLLSHL	KELIL SHALA		
KILZDPR	KELIL Z.P. SCHOOL		
KEILI	KELIVELI		
KLVEI	KELIVELI		
KLWEI	KELIWELI		
KELR	KELKAR BAUG		
KLARBW	KELKAR BUNGALOW		
KEKS	KELKAR SHOP MALGUND		
KLKRRARA	KELKAR STOP		
KDGL	KELKARWADI GULADUVE		
KLAXSAR	KELNA X RD.		
KELNE	KELNE		
KELOD	KELOD		
KLDMG	KELOD		
KLLEPS	KELOLI		
KEHI	KELOSHI		
KLAANRN	KELPADA		
KLATN	KELPANABARI		
KLS	KELSHI		
KLHMDR	KELSHI BHAIRI TEMPLE		
KLFT	KELSHI FATA		
KLSFT	KELSHI FATA		
KESM	KELSHI PIMPALPAR		
KSHIMNR	KELSHI PIMPALPAR		
KPA	KELSHI PIMPER FATA		
KLUL	KELSULA		
KLURRDW	KELSURA		
KETKDS	KELTAI NAGAR		
KLEMR	KELTE		
KLNAAAR	KELUNGAN		
KLRNY	KELURA		
KLUVUSH	KELUS DHAKKA		
KEUK	KELUS KALVI BANDER		
KELU	KELUS KHIND		
KLMRMD	KELUS MARUTI MANDIR		
KEUS	KELUS MOBARWADI		
KLSVGS	KELUS POST OFFICE		
KSSD	KELUS SADA		
KLTRMD	KELUS TARADEVI MANDIR		
KLSVNS	KELUS TITHA		
KLSG	KELUSKAR GIRAN		
KLSMVS	KELUSKAR STOP		
KLAEPRT	KELVA BEACH		
KLARDPRT	KELVA RD. NAKA		
KLADPRT	KELVA RD. RLY. STN.		
KVD	KELVAD		
KVDEFT	KELVADE FATA		
KVALIRJR	KELVALI PICKUP SHED		
KLVNEP	KELVANE		
KLVTMNRT	KELVAT GHAT		
KLAMDR	KELVAT PATI		
KLATTM	KELVAT TEMPLE		
KLVTE	KELVATE		
KVLEFT	KELVILE FATA		
KLADBBL	KELWAD		
KLAKAR	KELWAD		
KLWDGD	KELWAD		
KWARAR	KELWAD		
KLAAAAR	KELWAD FATA / RIVER		
KWADMNR	KELWAD PATI		
KELD	KELWADE		
KEWDI	KELWADI		
KELWAN	KELWAN		
KLANSE	KELWAN SOCIETY		
KLWND	KELWAND		
KLADPAR	KELWANDI		
KLWRL	KELWARAL		
KLWRLP	KELWARAL		
KLATCB	KELWAT		
KWATMNR	KELWAT GHAT		
KELYE	KELYE		
KKLASN	KELZAR		
KLAMC	KELZAR		
KLARC	KELZAR		
KLARSP	KELZAR		
KLARWAW	KELZAR		
KLZR	KELZAR		
KLZRPCA	KELZAR		
KLAFTAY	KELZAR FATA		
KZARFT	KELZAR FATA		
KLARRSW	KELZAR REST HOUSE		
KLARRWAW	KELZAR REST HOUSE		
KLARAY	KELZAR TANDA		
KLZRV	KELZARA VILLAGE		
KEM	KEM		
KEMWCA	KEM		
KMEKS	KEM		
KMHT	KEM HATA		
KMPRPBN	KEMAPUR		
KMRA	KEMARA		
KEBLKK	KEMBALI MALWADI		
KMLEVS	KEMBLE VASTI		
KMIKK	KEMBLI		
KMRUI	KEMBRULI		
KEBLI	KEMBURLI		
KMRSK	KEMBURNEWADI		
KMWAKR	KEMPWAD FACTORY		
KEPMRS	KEMPWAD ROAD		
KEMDI	KEMWADI		
KNDIWY	KENADI		
KEKHKAR	KENAKAHATTI		
KNLK	KENAL		
KNWDFT	KENAWADEFATA		
KNAWY	KENDA		
KNDLAMD	KENDAL		
KDARAR	KENDAL FATA		
KNALMAJ	KENDALI		
KNASP	KENDAPURI		
KDREDAM	KENDARIE DAM		
KNHAMJL	KENDHALI		
KNHEI	KENDHELI		
KENDRA	KENDRA		
KNKS	KENDRA KASA		
KNRAK	KENDRA KHURD		
KNRARHIH	KENDRA ROAD		
KNRERL	KENDRE WADI		
KNREA	KENDREWADI		
KNREAL	KENDREWADI		
KYDLY	KENDRIY MAHVIDAYLAY UMV		
KRVLYUMV	KENDRIY VIDAYLAY UMV		
KNDVLY	KENDRIYA VIDYALAYA		
KYVD	KENDRIYA VIDYALAYA		
KENDUR	KENDUR		
KNANSA	KENGAON X RD.		
KNAPN	KENGAPADA		
KNODJRT	KENGODI		
KNGVLRTG	KENGVAL		
KNAEKS	KENHARKHED		
KNWAT	KENI WATHAR		
KEIDI	KENIWADI		
KENJAI	KENJAI		
KENJ	KENJAL		
KNJLPNI	KENJAL		
KJALFT	KENJAL FATA		
KJV	KENJALE VASTI		
KNJLHL	KENJALSHCOOL		
KNJWD	KENJALWADI		
KLMRI	KENMBARI		
KNLEDP	KENOL		
KNLESS	KENOL		
KENOTE	KENOTE		
KNAD	KENVAD		
KENWAD	KENWAD		
KNADMW	KENWAD		
KNADRW	KENWAD		
KNDKK	KENWADE		
KNAKK	KENWADE FATA		
KPSN	KEPA NAGAR		
KPWSN	KEPAWADI		
KER	KER		
KRDAS	KER		
KERFT	KER FATA		
KRFADDS	KER FATA		
KERARV	KERA RIVER		
KERALPS	KERAL		
KRLSA	KERALA FARSHI FATA		
KERLFT	KERALA FATA		
KERT	KERALA TYRE		
KRWVGS	KERAWADA		
KRWAVNS	KERAWADA FATA		
KRAAKDSD	KERAWADE		
KRWCK	KERAWADE		
KRWKAS	KERAWADE FATA		
KRABA	KERDABHAGAI		
KERDI	KERDI		
KRCPR	KERE		
KREBDH	KERE BOUDHWADI		
KRLSHK	KERELE		
KERE	KEREWADI		
KRAGA	KERHA GHAT END		
KELA	KERHALA		
KERIG	KERI		
KIFADDS	KERI FATA		
KRLMDR	KERIL FATA		
KRAPSA	KERLA PALSHI FATA		
KERLEPKL	KERLE		
KREMKK	KERLE DEWUL		
KREPK	KERLE PANAND		
KLEPOLNR	KERLEPOOL		
KERLI	KERLI		
KERLISKL	KERLI		
KERF	KERLI FATA		
KRIKRK	KERLI FATA TO JOTIBA		
KRIPHK	KERLI FATA TO JOTIBA		
KJF	KERLI JYOTIBA FATA		
KLMYSL	KERLI MADHYAMIK SHALA		
KERODA	KERODA		
KRDSC	KERODA FATA		
KRLXNND	KEROLI X		
KRLFMN	KEROLIFATA		
KRORKR	KEROOR CROSS		
KRPOI	KERPOI		
KRSNE	KERSANE		
KRRAR	KERU FATA		
KRABNSK	KERU SAMBAJI PATIL VASTI		
KRSWNK	KERU SAMBHAJI PATIL NAKA		
KRMN	KERUBAI MANDIR		
KERULBD	KERUL		
KRLMN	KERULI X RD.		
KPILWD	KERUPATIL WADI		
KERUR	KERUR		
KERURBNN	KERUR		
KERURSSL	KERUR		
KRRDN	KERUR		
KRRKAR	KERUR		
KRRMN	KERUR		
KRADPPR	KERWADI		
KRZAAA	KERZAL FATA		
KSLWLB	KESAL WADA FATA		
KESALA	KESALA		
KEST	KESALAPAR FATA		
KSLFTPB	KESALEADA FATA		
KSLPD	KESALPADA FATA		
KSLPRNGP	KESALPUR		
KSLPRFT	KESALPUR FATA		
KSASDGN	KESALWADA		
KSLWLBA	KESALWADA		
KSLWMB	KESALWADA		
KSLWTB	KESALWADA		
KSLWTG	KESALWADA		
KSLFTMB	KESALWADA FATA		
KSLWD	KESALWADA FATA		
KSLWFTGND	KESALWADA FATA		
KSLWPB	KESALWADA FATA LT KATURLI		
KSLWSG	KESALWADA TOLA		
KSLWDBHN	KESALWADA WAGH		
KSNEHP	KESANAND FATA		
KSNEHPA	KESANAND GAON		
KSOR	KESAOYR		
KSORSAR	KESAOYR		
KSPU	KESAPUR		
KSPUBB	KESAPUR		
KSPUHH	KESAPUR		
KSPFTHH	KESAPUR FATA		
KEARI	KESAPURI		
KSPUI	KESAPURI		
KSPUMB	KESAPURI CAMP		
KCPUS	KESAPURI CAMP P.U. SHED		
KSPUIBDB	KESAPURI PARBHANI		
KSPRIBDB	KESAPURI PARBHANI X RD.		
KSPUIMNB	KESAPURI X RD.		
KSROO	KESAR JAWALGA		
KSAOEOM	KESAR JAWALGA GAON		
KSRXRD	KESAR JAWALGA X RD		
KSRAUAO	KESAR JAWALGA X RD.		
KSREMS	KESAR ODHA		
KSRLBN	KESARALI		
KSRELO	KESARGAON FATA		
KESARI	KESARI		
KSRIMJ	KESARI		
KESG	KESARI GPO PHANASAWADE		
KSREUO	KESARJAWALAGE FATA		
KERGA	KESARJAWALGA		
KSRPTH	KESARKAR PETH		
KESA	KESARKARWADI		
KSRPGUJ	KESARPADA		
KSRPDNRN	KESARPADA CHOWKI / BORDER		
KSRPD	KESARPADA MS BORDER		
KSTWLBA	KESATWADA		
KESD	KESATWADA FATA		
KESDSB	KESATWADA FATA		
KSEKS	KESE		
KSKC	KESHAR KHALACHI		
KSVR	KESHAR VIRCHI		
KSAVN	KESHAV NAGAR		
KSAGV	KESHAVGOVIND BAN		
KSAGVSAR	KESHAVGOVIND BAN		
KSAVA	KESHAVNAGAR CHICHANBA FATA		
KSWSN	KESHAW SHIWANI		
KSVWN	KESHAW SHIWNI		
KESH	KESHEDI AMBA		
KSEGO	KESHEGAON		
KSEGOODO	KESHEGAON		
KSORMG	KESHORI		
KSLBD	KESLABODI		
KSAARUDN	KESLAPAR		
KSAPRSRW	KESLAPAR		
KSAPPB	KESLAPUR		
KSAEHP	KESNAND FATA		
KESRIFT	KESORI FATA		
KSURNR	KESPURI		
KETLI	KESTULI		
KSURMNR	KESTURI		
KEUDI	KESURDI		
KESU	KESURDI FATA		
KSRLWYV	KESURLI		
KERHI	KESURWAHI		
KTKHD	KETAKHADI		
KTKHDDUT	KETAKHADI PADA NO.1		
KTKIH	KETAKICHA PADA		
KTKIA	KETAKIPADA		
KEAIKAR	KETBAGI		
KGONRD	KETGAON ROAD		
KETA	KETHOTA		
KTOTKR	KETHOTA PATI		
KEKLE	KETKAWALE		
KTICPR	KETKI		
KTKI	KETKI		
KTBW	KETKI BHOIWADI		
KTKSLWD	KETKI SALWADI		
KKISCIR	KETKI SONARWADI		
KTKRAP	KETKUR		
KPT	KETRI PATA		
KTR	KETUR		
KTRA	KETURA		
KETRHCT	KETWAR HEALTH CENTRE		
KEVTH	KEV		
KVFAA	KEV FATA		
KEVAD	KEVAD		
KEAON	KEVADGAON		
KVDIA	KEVADIPADA		
KVPFT	KEVADIPADA FATA		
KEVALE	KEVALE		
KVNAE	KEVANALE		
KVDV	KEVANI DIVE		
KVFTV	KEVANI FATA		
KVNLA	KEVANLA		
KVIYGUJ	KEVDIYA COLONY		
KVNLJT	KEVNALA		
KVAEPRR	KEVNALE		
KVAD	KEVPADA		
KVADVDT	KEVPADA		
KEWAD	KEWAD		
KWDEBS	KEWAD		
KEWADA	KEWADA		
KWDDP	KEWADI		
KWDIAAN	KEWADI		
KWLPR	KEWAL PARK.		
KWLKN	KEWALA TANDA		
KWLMP	KEWALARE		
KWLR	KEWALARI		
KWLWDTL	KEWALWADA TOLI		
KYCN	KEY CENTRE		
KVCK	KEY VILLAGE CEMTRE KHAVADI		
KAAANNK	KHABALA		
KAAL	KHABALE ROAD		
KAALIIN	KHABALE TOWN		
KAAHKS	KHABALWADI		
KHVW	KHABOVWADI		
KAAHK	KHACHANAL		
KCNEFT	KHACHANE FATA		
KHCDI	KHACHARWADI		
KAHET	KHACHE TEMBHE		
KHHAKAR	KHACHNAL		
KHADA	KHADA		
KHADAMYV	KHADA		
KAAFBJ	KHADA FATA		
KAADNB	KHADADGAON		
KHDDIJT	KHADADI		
KAAG	KHADAGI		
KAA	KHADAK		
KAAJP	KHADAK		
KAAKB	KHADAK BORGAON		
KAAPJ	KHADAK DEADA		
KHDKFT	KHADAK FATA		
KAAKJ	KHADAK JAMB		
KJM	KHADAK JAMB		
KAAKM	KHADAK MACHINE		
KDMG	KHADAK MALEGAON		
KDOL	KHADAK OHAL		
KAAKNL	KHADAK OMERGA		
KAAKS	KHADAK SIM		
KAAAPAR	KHADAK WADI		
KAAKWD	KHADAK WADI		
KKAATN	KHADAK WADI		
KAAKGY	KHADAKA		
KAAKJJ	KHADAKA		
KAAKMAJ	KHADAKA		
KAAKMAO	KHADAKA		
KAAKSWR	KHADAKA		
KAAKSP	KHADAKA (HANUMAN MANDIR)		
KAAKSW	KHADAKA (HANUMAN MANDIR)		
KAAMAZ	KHADAKA / JMHA X RD.		
KAAAMY	KHADAKA / LEWA		
KAAFTDY	KHADAKA FATA		
KAAFTGY	KHADAKA FATA		
KAAKTAA	KHADAKA FATA		
KAANAZ	KHADAKA FATA		
KHKF	KHADAKA FATA		
KHKFBJL	KHADAKA FATA		
KHM	KHADAKA HANUMAN MANDIR		
KHDKSN	KHADAKA HANUMAN MAUDA		
KAAKAW	KHADAKA JAM		
KAAKMA	KHADAKA JAM		
KAAKMRA	KHADAKA JAMBA X RD.		
KAAAMRA	KHADAKA LAMBA X RD.		
KAAAAIW	KHADAKA ROAD		
KADMRAO	KHADAKA/JMBA		
KADMRAOB	KHADAKA/JMHA RD		
KJXR	KHADAKA/JMHA X ROAD		
KAGUJ	KHADAKALA		
KHDKALEB	KHADAKALE BHAINER		
KAAHBS	KHADAKALGAON		
KHADKPN	KHADAKAPANI		
KAAADD	KHADAKASIM		
KDAV	KHADAKAVALI		
KHDVN	KHADAKAVANE		
KAAKPY	KHADAKDARI		
KAAFTPY	KHADAKDARI FATA		
KKLACL	KHADAKDEOLA COLONY		
KAAKKS	KHADAKDHARA		
KDH	KHADAKDOH		
KHDKE	KHADAKE		
KAAENA	KHADAKE FATA		
KDKEFT	KHADAKE FATA		
KAAHKSA	KHADAKI		
KAAHPS	KHADAKI		
KAAIJJ	KHADAKI		
KAAKAIW	KHADAKI		
KAAKBIT	KHADAKI		
KAAKDP	KHADAKI		
KAAKMBA	KHADAKI		
KAAKRNY	KHADAKI		
KAAKSNH	KHADAKI		
KAAKTP	KHADAKI		
KAAKZY	KHADAKI		
KAAMN	KHADAKI		
KHADK	KHADAKI		
KHDIN	KHADAKI		
KHKI	KHADAKI		
KHKIMSL	KHADAKI		
KAAKAA	KHADAKI CHANDUR		
KAAFTBB	KHADAKI FATA		
KAAFTZY	KHADAKI FATA		
KAAIMB	KHADAKI FATA		
KAKF	KHADAKI FATA		
KAAIK	KHADAKI KHALCHI		
KHFI	KHADAKI POST OFFICE		
KAAIRNY	KHADAKI SUKALI		
KAKIWD	KHADAKI WADI		
KAAIW	KHADAKI WARCHI		
KAAKSUW	KHADAKI/ HANUMAN TEMPLE		
KAAKMB	KHADAKI/KARDIBHANDARA		
KAAKP	KHADAKIPADA		
KDKPDF	KHADAKIPADA FATA		
KAAKSCNJ	KHADAKISIM		
KDKTL	KHADAKITOLA		
KKAANN	KHADAKJAM		
KAAKA	KHADAKJAMB		
KDKLT	KHADAKLAT		
KAASN	KHADAKMAL		
KDME	KHADAKMALEGAON		
KADAGA	KHADAKNARLA X RD.		
KDNH	KHADAKNATHWADI		
KAAKL	KHADAKOLI		
KAAKLPRT	KHADAKOLI SCHOOL		
KAAKNPRT	KHADAKONA		
KAAKJP	KHADAKPATI		
KDKE	KHADAKTALE		
KAAHMP	KHADAKVADI		
KAKAK	KHADAKWADA		
KAAHAP	KHADAKWADI		
KAAHPA	KHADAKWADI		
KAAKAPAB	KHADAKWADI		
KAAKAPRR	KHADAKWADI		
KAAKMP	KHADAKWADI		
KDAKQ	KHADAKWADI		
KHDKWD	KHADAKWADI		
KHDWDP	KHADAKWADI		
KAAWD	KHADAKWADI / PALASI FATA		
KAAKABRJ	KHADAKWADI X RD.		
KAATNK	KHADAKWADI/BHILMAL		
KHWS	KHADAKWASALA		
KDKWSWT	KHADAKWASALA CENTRAL WATER POWER		
KHWM	KHADAKWASALA DAM		
KAAKK	KHADAKWKADI		
KAAASAR	KHADALA		
KAAHMS	KHADALE		
KAAHAPA	KHADALK WADI		
KAAB	KHADAMBA		
KAANAAA	KHADAN		
KAANADJ	KHADAN		
KAANJJ	KHADAN		
KAANMAW	KHADAN		
KAANSAB	KHADAN		
KHDN	KHADAN		
KHDNSN	KHADAN		
KVH	KHADAN VIHIR		
KHDJTS	KHADANAL		
KHGL	KHADANGLI		
KHDP	KHADAPI		
KADAAA	KHADAPTALE		
KAAML	KHADARMAL		
KHDV	KHADAVALI		
KHDVTT	KHADAVALI		
KVLIA	KHADAVALI		
KAAAISHR	KHADAVALI FATA		
KAAIBT	KHADAVI FATA		
KHVF	KHADAVLI FATA		
KDMN	KHADAYE MANGAR		
KADVBSR	KHADDAVI		
KDKT	KHADE KATAL		
KDEM	KHADE MALA		
KADEVS	KHADE VASTI		
KAEVS	KHADE VASTI		
KHDCWD	KHADECHI WADI		
KAKPK	KHADEKHOD		
KAESI	KHADESHI FATA		
KHDW	KHADEWADI		
KHDWD	KHADEWADI		
KDWDFT	KHADEWADI FATA		
KWDPLN	KHADEWADI POLICE STATION		
KAENN	KHADEY FATA		
KHDGNFT	KHADGAIN FATA		
KHDGNFTJLJ	KHADGAIN FATA		
KHGG	KHADGANGI		
KAGANBNJ	KHADGAON		
KAGANJAJ	KHADGAON		
KAGNN	KHADGAON		
KAGOCG	KHADGAON		
KHDGAN	KHADGAON		
KHDGN	KHADGAON		
KHDGNCJL	KHADGAON		
KHDGNPA	KHADGAON		
KKAGKN	KHADGAON		
KADANFT	KHADGAON FATA		
KADGAA	KHADGAON FATA		
KAGANMN	KHADGAON FATA		
KAGANNRN	KHADGAON FATA		
KAGKN	KHADGAON FATA		
KAGONJAJ	KHADGAON FATA		
KDONFT	KHADGAON FATA		
KHGF	KHADGAON FATA		
KAGOMDN	KHADGON		
KHDKAS	KHADGUN		
KHDX	KHADHA X RD.		
KAHADB	KHADHAN		
KAI	KHADI		
KAIPP	KHADI		
KHADI	KHADI		
KHADIBT	KHADI		
KHADIWSN	KHADI		
KDBD	KHADI BRIDGE		
KAHK	KHADI CRUSHAR		
KHDWTK	KHADI CRUSSER		
KHDIFTP	KHADI FATA		
KAIAKAW	KHADI GAON		
KAIR	KHADI GRAM UDYOG		
KAIKNG	KHADI GRAMUDDOYG BADODA		
KAIAL	KHADI KENDRA		
KDIN	KHADI KENDRA		
KAIRAR	KHADI KOIVAN		
KHDKLVN	KHADI KOLVAN		
KAICB	KHADI MACHIN		
KAIDB	KHADI MACHINA		
KAIAPRT	KHADI MACHINE		
KAIASIR	KHADI MACHINE		
KAIGK	KHADI MACHINE		
KAIHHP	KHADI MACHINE		
KAIHPS	KHADI MACHINE		
KDMC	KHADI MACHINE		
KDMCCKL	KHADI MACHINE		
KDMCVT	KHADI MACHINE		
KHDAK	KHADI MACHINE		
KHDMCN	KHADI MACHINE		
KAIMMN	KHADI MISSION		
KHDOZRE	KHADI OZARE		
KAIKDS	KHADI POOL		
KDPOOL	KHADI POOL		
KAIRV	KHADI RIVER		
KAIBT	KHADI SALI		
KAISST	KHADI SALI		
KHDHGNT	KHADICHA GANPATI		
KADCKDSD	KHADICHEGALU PULASKAR		
KAISGR	KHADIKOLAVAN		
KHDML	KHADIMAL		
KAINK	KHADINAKA		
KHDPDHN	KHADIPADA		
KAIPGG	KHADIPAR		
KAIPMB	KHADIPAR		
KAIPTG	KHADIPAR		
KHDPR	KHADIPAR		
KAIPLB	KHADIPAR/X-LAKHORI		
KHDNA	KHADJANA		
KHDPRX	KHADK PURA X		
KAKICNJ	KHADK SIM / DHAMANGAON FATA		
KAKDNK	KHADK SUKENA		
KADSLPR	KHADKA		
KAKAADJ	KHADKA		
KAKAGIJ	KHADKA		
KAKAMY	KHADKA		
KAKASP	KHADKA		
KAKASUW	KHADKA		
KAKATA	KHADKA		
KAKNA	KHADKA		
KAKWA	KHADKA		
KHADKA	KHADKA		
KHDKA	KHADKA		
KHDKAA	KHADKA		
KHDKAPYV	KHADKA		
KHDK	KHADKA / MADKA		
KAKAF	KHADKA FATA		
KAKAFT	KHADKA FATA		
KAKFTMA	KHADKA FATA		
KAKFTMY	KHADKA FATA		
KAKAH	KHADKA HANUMAN MANDIR		
KAKAJAAA	KHADKA JAM X RD.		
KAKALAAA	KHADKA LAMBA		
KDVLH	KHADKA VILLAGE		
KADKNA	KHADKA X RD.		
KAKAX	KHADKA X RD.		
KAKAA	KHADKAJAM		
KAKAAMNN	KHADKAJAMB		
KHDGON	KHADKALGAON		
KDSG	KHADKALI SIGNAL		
KAKAJP	KHADKAPADI		
KAKHAB	KHADKAT		
KAKHMA	KHADKAT		
KHDKT	KHADKAT		
KDKX	KHADKAT X RD.		
KHAD	KHADKAVLI		
KAKAAMAS	KHADKAWADI		
KDDO	KHADKDEOLA		
KAKAJ	KHADKE		
KAKBJ	KHADKE		
KAKDJ	KHADKE		
KAKJJ	KHADKE		
KAKEFT	KHADKE FATA		
KAKEJ	KHADKE FATA		
KAKJJLL	KHADKE FATA		
KAKIN	KHADKED		
KAKGEJ	KHADKEGAON		
KDEW	KHADKEWADA		
KHDEKK	KHADKEWADA FATA		
KDEA	KHADKEWADI		
KHKWD	KHADKEWADI		
KDHIPD	KHADKHI PADA		
KHDKPD	KHADKHI PADA		
KAKAG	KHADKI		
KAKCJ	KHADKI		
KAKDN	KHADKI		
KAKHAA	KHADKI		
KAKHBP	KHADKI		
KAKHMS	KHADKI		
KAKHNMN	KHADKI		
KAKHPS	KHADKI		
KAKHSA	KHADKI		
KAKI	KHADKI		
KAKIAA	KHADKI		
KAKIAIW	KHADKI		
KAKIAN	KHADKI		
KAKIBB	KHADKI		
KAKIBIA	KHADKI		
KAKIKTN	KHADKI		
KAKIMNW	KHADKI		
KAKIMY	KHADKI		
KAKINRN	KHADKI		
KAKIP	KHADKI		
KAKIPRR	KHADKI		
KAKIRYV	KHADKI		
KAKITRO	KHADKI		
KAKIWIB	KHADKI		
KAKKG	KHADKI		
KAKNN	KHADKI		
KAKPN	KHADKI		
KDKBLD	KHADKI		
KDKI	KHADKI		
KDKIBT	KHADKI		
KDKIWYV	KHADKI		
KKAKKN	KHADKI		
KAKIAAA	KHADKI / CHANDUR FATA		
KAKIARD	KHADKI /JAMBHA ROAD		
KAKIB	KHADKI BUDRUK		
KAKAAAR	KHADKI FATA		
KAKCJAL	KHADKI FATA		
KAKFA	KHADKI FATA		
KAKHMSA	KHADKI FATA		
KAKIF	KHADKI FATA		
KAKIFGIJ	KHADKI FATA		
KAKIFT	KHADKI FATA		
KAKIFTPYV	KHADKI FATA		
KAKKN	KHADKI FATA		
KAKMN	KHADKI FATA		
KHDKIFT	KHADKI FATA		
KAKIZY	KHADKI FTA		
KADKAA	KHADKI GAON		
KAKHAPA	KHADKI GAON		
KAKIH	KHADKI HANUMAN TEMPLE		
KAKIMB	KHADKI KOKA MUNDHARI		
KAKINADJ	KHADKI NALA		
KAKINGIJ	KHADKI NALA		
KAKIPNRN	KHADKI PADA		
KDPTL	KHADKI PATI		
KAKIPMLP	KHADKI POST OFFICE		
KAKIHP	KHADKI RLY STN		
KAKIS	KHADKI SIM		
KHSKRYV	KHADKI SUKALI		
KAKIX	KHADKI X RD.		
KAKIXKBO	KHADKI X RD.		
KHKX	KHADKI X RD.		
KAKHPVN	KHADKI. POST OFFICE		
KAKISG	KHADKI/ BAMHANI		
KDJM	KHADKJAM		
KAKALN	KHADKMANJRI		
KDKLI	KHADKOLI		
KAKOHH	KHADKOLI HANUMAN		
KHDNI	KHADKONI		
KAKHJP	KHADKUMBHA		
KAKTANDN	KHADKUT		
KAKTNN	KHADKUT		
KAKTAN	KHADKUT X RD.		
KAKTNNNN	KHADKUT X RD.		
KAKKNK	KHADKWAN FATA		
KAKY	KHADKYA		
KAMAF	KHADMBA FATA		
KHDOL	KHADOLI		
KDFP	KHADOSHI / DUDHOSHI FATA		
KAPCPR	KHADPOLI BOUDHWADI		
KDPOLCIR	KHADPOLI MADALI WADI		
KAPOCIR	KHADPOLI MOHALLA		
KADOCNRT	KHADPOLI SCHOOL		
KASABTAR	KHADSAMBALE		
KHAGI	KHADSANGI		
KSHXXD	KHADSEEM DHENGAON X RD.		
KASEDD	KHADSEEN/DHONGAON		
KHADSI	KHADSI		
KDALBG	KHADTAL BRIDGE		
KATHMS	KHADTARI VASTI		
KAUKGIJ	KHADUKA		
KALGK	KHADULE		
KALPK	KHADULE		
KAURAR	KHADUWADI		
KHDVNWD	KHADVANVADI		
KAWNN	KHADWAL		
KAYDN	KHADYACHI WADI		
KAYNN	KHADYACHIWADI		
KAYTN	KHADYACHIWADI		
KDCWD	KHADYACHIWADI		
KAAOKNB	KHAGAON		
KHGRI	KHAGARI		
KAAKSH	KHAHAKAR		
KHBI	KHAIBI		
KHAIDA	KHAIDA		
