BUS_STOP_CD	BUS_STOP_NM	Latitude	Longitude
AHLUTA	ACHALPURI FATA		
ALLI	ACHAMPALLI		
ACHP	ACHAPA		
ACRA	ACHARA		
ACBR	ACHARA BANDAR		
ACRBDG	ACHARA BRIDGE		
ACAAKS	ACHARA FATA		
AHRAMLS	ACHARA PAR		
ACTH	ACHARA TITA		
ACPR	ACHARAPAR		
AHRPS	ACHARE WADI FATA		
ACHB	ACHAREKAR BAG		
ACRDI	ACHAREWADI		
AHRVBS	ACHAREWADI		
ACHYAPD	ACHARYA PADA		
AHWADL	ACHAWAL		
AHWANL	ACHAWALA		
AWLA	ACHAWALA		
ACHGN	ACHEGAON		
ACESLS	ACHEGAON FATA		
ACHE	ACHEGAON FATA		
ACHEASL	ACHEGAON FATA		
AHGSAS	ACHEGAON FATA		
ACNE	ACHIRNE		
ARSL	ACHIRNE SCHOOL		
AHRNVIS	ACHIRNE VIDYALAYA		
ACWD	ACHIRNE WAD		
ACHLR	ACHLER		
AHERTO	ACHLER		
AHETO	ACHLER ROAD		
AHAUL	ACHNAL		
ACHLA	ACHOLA		
ACHOLVT	ACHOLE		
AHLEFVT	ACHOLE FATA		
AHLETTN	ACHOLE TOWN		
ACHLVST	ACHOLE VASTI		
AHAAN	ACHPA		
ACPAFT	ACHPAFATA		
ACRBC	ACHRABEACH		
AHALDL	ACHWALA		
ACSAJG	ACS AGRO JR COLLAGE		
ATOKB	ACTROI NAKA		
ATORAR	ACTROY NAKA		
ADOMRS	AD ODHA		
ADAFTBB	ADA FATA		
AAHINN	ADACHI		
AAHPP	ADACHI WADI		
AAMR	ADAD		
AAAKDR	ADADAS WADI		
AAEPS	ADADEV		
AAIGGN	ADADI		
AAAOFNN	ADAGAO FATA		
AAAOYJ	ADAGAON		
ADAGAON	ADAGAON		
ADON	ADAGAON		
AAAFTJP	ADAGAON FATA		
AAAONN	ADAGAON NAKA		
AAAOCN	ADAGAON TANGADI FATA		
ADGIPDT	ADAGIPADA		
ADHLL	ADAHALLI		
ADHTK	ADAHATTI		
ADAJAN	ADAJAN		
ADJANSRT	ADAJAN SURAT		
ADAKANGP	ADAKA		
AAHAAJT	ADAKHADAK		
ADUSC	ADAKHAL URDU SCHOOL		
AAAKO	ADALA X RD.		
ADASE	ADALASE		
ADLTMTH	ADALAT MATH		
AALEBD	ADALE BUDRUK		
AAEDMP	ADALE KHURD		
AAEAP	ADALE WADI		
AAGANKO	ADALGAON		
AAISWS	ADALI MAULI MANDIR		
ALCN	ADALPHI CINEMA		
AASBJ	ADALSE		
AASCJ	ADALSE		
ADAM	ADAM		
ADAMNK	ADAM NAKA		
ADAMAL	ADAMAL		
ADMPRBNN	ADAMPUR		
AAACK	ADAMWADI		
AARDY	ADAN RIVER		
AARAY	ADAN RIVER TANK		
AARYY	ADAN RIVER TANK		
AAEVT	ADANE		
AWMN	ADANEWADI MANGER		
ADANG	ADANGE		
ADANI	ADANI		
AABPS	ADARBEE		
AADH	ADARDI GHAT MATHA		
AAIDGS	ADARI		
AAIMLS	ADARI		
ADRI	ADARI		
AAKIKS	ADARKI		
ADRKI	ADARKI		
AAKIBD	ADARKI BUDRUK		
AAKDPS	ADARKI FATA		
AAKPS	ADARKI FATA		
ADAK	ADARKI GHAT MATHA		
ACOHS	ADARSH CO. OP. HSG. SOC.		
ACOHSF	ADARSH CO. OP. HSG. SOC. FATA		
AASHDPT	ADARSH DUGDH MANDIR		
AASAW	ADARSH NAGAR		
AASHNGKSN	ADARSH NAGAR		
AASKS	ADARSH NAGAR		
