ROUTE_NO	ROUTE_NAME	FROM_STOP_CD	TILL_STOP_CD
263	BHAYANDER to KAVTHEMAHANKAL via ATIT	BYDR	KMHL
264	KURLA NEHRU NAGAR to JAT via RABALE	KNN	JAT
266	PAREL to JAT via NAGAJ	PRL	JAT
271	CHINCHWAD to ATPADI	CNWD	ATPD
272	SHIVAJI NAGAR PUNE to ATPADI	SNGR	ATPD
274	SWARGATE, PUNE to ISLAMPUR	SWR	ISL
275	CHINCHWAD to JAT	CNWD	JAT
276	CHINCHWAD to JAT via BHIVGHAT	CNWD	JAT
277	PANDHARPUR to JAT	PPR	JAT
280	SWARGATE, PUNE to KAVTHEMAHANKAL	SWR	KMHL
281	PUNE RLY. STN. to MIRAJ	PNESTN	MRJ
282	PUNE RLY. STN. to JAMKHANDI	PNESTN	JAHDI
285	SWARGATE, PUNE to SANGLI via SHIVAPUR POST OFFICE	SWR	SGL
286	CHINCHWAD to TASGAON via BHUINJ	CNWD	TSGN
287	SWARGATE, PUNE to TASGAON via KIKVI	SWR	TSGN
288	CHINCHWAD to VITA	CNWD	VITA
289	PUNE RLY. STN. to VITA	PNESTN	VITA
290	SWARGATE, PUNE to VITA via SHIRWAL	SWR	VITA
291	PAREL to DAHIVADI via BUDH	PRL	DVD
292	PAREL to MASHWAD	PRL	MSHWD
293	MUMBAI CENTRAL to KARAD	MCT	KRD
297	MUMBAI CENTRAL to MEDHA via MAHAD	MCT	MDH
298	BORIVALI NANCY COLONY to TAPOLA	BVINC	TAPL
300	THANE CBS to GOGVE	THNCBS	GGVE
302	MUMBAI CENTRAL to MAHABALESHWAR via MAHAD	MCT	MWR
303	MUMBAI CENTRAL to MAHABALESHWAR	MCT	MWR
305	MUMBAI CENTRAL to PHALTAN	MCT	PHL
306	PAREL to PHALTAN	PRL	PHL
308	PAREL to JYOTIBA JALAV	PRL	JTJL
309	PAREL to PATAN	PRL	PTN
310	BORIVALI NANCY COLONY to SATARA	BVINC	STR
312	PAREL to KOREGAON via KAVATHE	PRL	KRG
313	MUMBAI CENTRAL to VADUJ	MCT	VDJ
315	PAREL to KALEDHON	PRL	KLDH
316	PAREL to VADUJ	PRL	VDJ
317	MUMBAI CENTRAL to WAI	MCT	WAI
318	MUMBAI CENTRAL to WAI via PANPOI	MCT	WAI
321	PAREL to WAI via SHIRWAL	PRL	WAI
322	CHINCHWAD to GONDAVALE	CNWD	GOND
323	PUNE RLY. STN. to GONDAVALE	PNESTN	GOND
324	PUNE RLY. STN. to DAHIVADI	PNESTN	DVD
325	SWARGATE, PUNE to KARAD	SWR	KRD
326	PUNE RLY. STN. to KOREGAON via KHELAR	PNESTN	KRG
329	PANDHARPUR to MAHABALESHWAR	PPR	MWR
330	PUNE RLY. STN. to PHALTAN	PNESTN	PHL
331	PUNE RLY. STN. to MAHABALESHWAR via PANCHGANI	PNESTN	MWR
332	PUNE RLY. STN. to PATAN	PNESTN	PTN
333	PANDHARPUR to PATAN	PPR	PTN
334	PUNE RLY. STN. to VADUJ	PNESTN	VDJ
335	PUNE RLY. STN. to VADUJ via SATARA	PNESTN	VDJ
336	SWARGATE, PUNE to WAI	SWR	WAI
337	MUMBAI CENTRAL to SOLAPUR	MCT	SLP
338	BORIVALI SUKURWADI to SOLAPUR	BVISWD	SLP
339	BHIVANDI to SOLAPUR via THANE CBS	BVD	SLP
340	MUMBAI CENTRAL to PANDHARPUR via PHALTAN	MCT	PPR
341	PANDHARPUR to SHIRDI	PPR	SRDI
342	PANDHARPUR to AURANGABAD	PPR	AWBCBS
343	PANDHARPUR to CHIPLUN	PPR	CPN
344	PANDHARPUR to DAPOLI	PPR	DPL
345	PANDHARPUR to GUHAGAR	PPR	GHR
346	PANDHARPUR to HYDERABAD	PPR	HYBD
347	PANDHARPUR to NIZAMABAD	PPR	NZM
348	PANDHARPUR to NIZAMABAD via BARSHI	PPR	NZM
349	PANDHARPUR to NASIK CBS	PPR	NSKCBS
350	JUNNAR NEW to PANDHARPUR	JNNW	PPR
351	ALIBAG to PANDHARPUR	ALB	PPR
353	MUMBAI CENTRAL to BARSHI via PANVEL	MCT	BRS
358	SWARGATE, PUNE to AKKALKOT	SWR	AKKT
359	MUMBAI CENTRAL to KARMALA	MCT	KML
360	PAREL to AKLUJ via BARAMATI	PRL	AKJ
361	KALYAN to AKLUJ	KLN	AKJ
364	MUMBAI CENTRAL to GHERDI	MCT	GHRD
365	PANDHARPUR to KOLHAPUR via BUDHIYAL	PPR	KLPCBS
366	SWARGATE, PUNE to SANGOLA via VELAPUR	SWR	SNGO
367	KURLA NEHRU NAGAR to MANGALVEDHA	KNN	MWD
369	BORIVALI SUKURWADI to MANGALVEDHA	BVISWD	MWD
370	BORIVALI SUKURWADI to MANGALVEDHA via JOGESHWARI EAST	BVISWD	MWD
371	SWARGATE, PUNE to SOLAPUR	SWR	SLP
372	PANDHARPUR to AHMEDNAGAR MALIWADA	PPR	ANGRMWD
373	PANDHARPUR to BEED	PPR	BEED
374	PANDHARPUR to GANGAPUR	PPR	GNGPR
375	SWARGATE, PUNE to PANDHARPUR via MALSHIRAS	SWR	PPR
376	PANDHARPUR to BIJAPUR	PPR	BJP
377	PANDHARPUR to LATUR	PPR	LTR
