route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id
28,FULLW,96196,"Panaji",,1
30,FULLW,96126,"Panaji via Mapusa",,1
34,FULLW,95459,"Harambol via Pedne",,0
34,FULLW,95469,"Harambol via Pedne",,0
34,FULLW,95480,"Panaji via Pedne",,1
34,FULLW,95490,"Panaji via Pedne",,1
35,FULLW,95493,"Morjim Tem via Mapusa",,0
35,FULLW,95502,"Morjim Tem via Mapusa",,0
35,FULLW,95512,"Panaji via Mapusa",,1
35,FULLW,95522,"Panaji via Mapusa",,1
36,FULLW,95478,"Keri, Pernem via Pedne",,0
36,FULLW,95487,"Keri, Pernem via Pedne",,0
36,FULLW,95495,"Panaji via Pedne",,1
36,FULLW,95508,"Panaji via Pedne",,1
37,FULLW,96425,"Virdi via Marcel,Sankhali",,0
37,FULLW,96434,"Virdi via Marcel,Sankhali",,0
38,FULLW,97053,"Hivrem via Bicholim",,0
38,FULLW,97084,"Mapusa  via Bicholim",,1
44,FULLW,95455,"Dhumashe via Mapusa",,0
44,FULLW,95467,"Panaji via Mapusa",,1
46,FULLW,95496,"Morlem",,0
46,FULLW,95506,"Panaji",,1
47,FULLW,96409,"Velguem via Mapusa",,0
51,FULLW,95465,"Hivrem via Marcel,Valpoi",,0
56,FULLW,95453,"Caranzol via Bicholim",,0
56,FULLW,95475,"Panaji via Bicholim",,1
57,FULLW,96158,"Ibrampur via Suke Kulan",,0
57,FULLW,96167,"Ibrampur via Suke Kulan",,0
57,FULLW,96176,"Panaji via Suke Kulan",,1
57,FULLW,96185,"Panaji via Suke Kulan",,1
60,FULLW,95497,"Nanora via Marcel,Valpoi",,0
60,FULLW,95509,"Nanora via Marcel,Valpoi",,0
60,FULLW,95519,"Panaji via Marcel,Valpoi",,1
60,FULLW,95531,"Panaji via Marcel,Valpoi",,1
61,FULLW,95398,"Fatorpa via Margao",,0
61,FULLW,95402,"Mapusa  via Margao",,1
62,FULLW,95498,"Panaji via Mapusa,Aldona",,1
64,FULLW,95334,"Badem",,0
64,FULLW,95339,"Badem",,0
64,FULLW,95344,"Badem",,0
64,FULLW,95348,"Badem",,0
64,FULLW,95355,"Badem",,0
64,FULLW,95358,"Badem",,0
64,FULLW,95365,"Badem",,0
64,FULLW,95368,"Badem",,0
64,FULLW,95375,"Mapusa ",,1
64,FULLW,95383,"Mapusa ",,1
64,FULLW,95387,"Mapusa ",,1
66,FULLW,95422,"Advoi via Marcel,Sankhali",,0
66,FULLW,95433,"Advoi via Marcel,Sankhali",,0
66,FULLW,95444,"Panaji via Marcel,Sankhali",,1
66,FULLW,95456,"Panaji via Marcel,Sankhali",,1
67,FULLW,95424,"Ashwem Beach via Arabo,Pernem",,0
67,FULLW,95439,"Panaji via Arabo,Pernem",,1
68,FULLW,95429,"Betul Cross",,0
68,FULLW,95450,"Panaji",,1
69,FULLW,96472,"Savoi",,0
69,FULLW,96477,"Savoi",,0
69,FULLW,96480,"Savoi",,0
69,FULLW,96487,"Ponda",,1
69,FULLW,96492,"Ponda",,1
69,FULLW,96493,"Ponda",,1
70,FULLW,95361,"Baga Beach via Parra",,0
70,FULLW,95366,"Baga Beach via Parra",,0
70,FULLW,95371,"Baga Beach via Parra",,0
70,FULLW,95374,"Baga Beach via Parra",,0
70,FULLW,95379,"Baga Beach via Parra",,0
70,FULLW,95384,"Baga Beach via Parra",,0
70,FULLW,95388,"Baga Beach via Parra",,0
70,FULLW,95394,"Mapusa  via Parra",,1
70,FULLW,95397,"Mapusa  via Parra",,1
70,FULLW,95406,"Mapusa  via Parra",,1
70,FULLW,95411,"Mapusa  via Parra",,1
70,FULLW,95414,"Mapusa  via Parra",,1
72,FULLW,96371,"Shiroda Market via Ponda",,0
72,FULLW,96383,"Panaji via Ponda",,1
73,FULLW,96465,"Kudchire via Marcel,Sankhali",,0
75,FULLW,95462,"Harambol via Pernem,Arabo",,0
75,FULLW,95472,"Panaji via Pernem,Arabo",,1
76,FULLW,95533,"Vijaydurga Temple Village Stop via Ponda",,0
76,FULLW,95542,"Panaji via Ponda",,1
79,FULLW,95515,"Panaji",,1
81,FULLW,96339,"Saptakoteshwar, Narve",,0
84,FULLW,95425,"Badem via Assagao",,0
84,FULLW,95432,"Badem via Assagao",,0
84,FULLW,95440,"Panaji via Assagao",,1
84,FULLW,95446,"Panaji via Assagao",,1
84,FULLW,95458,"Panaji via Assagao",,1
84,FULLW,95461,"Panaji via Assagao",,1
85,FULLW,95481,"Kumbharwada",,0
85,FULLW,95489,"Panaji",,1
88,FULLW,95500,"Sal",,0
88,FULLW,95510,"Sal",,0
88,FULLW,95521,"Panaji",,1
88,FULLW,95527,"Panaji",,1
90,FULLW,95477,"Ker",,0
90,FULLW,95486,"Panaji",,1
95,FULLW,95468,"Kalay via Ponda,Savordem",,0
95,FULLW,95483,"Panaji via Ponda,Savordem",,1
99,FULLW,95393,"Calvi",,0
99,FULLW,95401,"Calvi",,0
99,FULLW,95412,"Calvi",,0
99,FULLW,95419,"Calvi",,0
99,FULLW,95427,"Calvi",,0
99,FULLW,95430,"Calvi",,0
99,FULLW,95435,"Mapusa ",,1
99,FULLW,95441,"Mapusa ",,1
99,FULLW,95445,"Mapusa ",,1
99,FULLW,95448,"Mapusa ",,1
99,FULLW,95454,"Mapusa ",,1
100,FULLW,95416,"Advoi via Marcel,Valpoi",,0
100,FULLW,95434,"Advoi via Marcel,Valpoi",,0
101,FULLW,95986,"Advoi via Mapusa,Sankhali",,0
101,FULLW,96006,"Panaji via Mapusa,Sankhali",,1
104,FULLW,95484,"Mandrem via Siolim",,0
104,FULLW,95492,"Panaji via Siolim",,1
106,FULLW,95396,"Camurlim Khairat",,0
106,FULLW,95409,"Camurlim Khairat",,0
106,FULLW,95417,"Camurlim Khairat",,0
106,FULLW,95426,"Camurlim Khairat",,0
106,FULLW,95431,"Camurlim Khairat",,0
106,FULLW,95438,"Camurlim Khairat",,0
106,FULLW,95443,"Camurlim Khairat",,0
106,FULLW,95447,"Mapusa ",,1
106,FULLW,95457,"Mapusa ",,1
106,FULLW,95460,"Mapusa ",,1
106,FULLW,95466,"Mapusa ",,1
106,FULLW,95470,"Mapusa ",,1
106,FULLW,95474,"Mapusa ",,1
110,FULLW,95313,"Poira",,0
110,FULLW,95318,"Poira",,0
110,FULLW,95323,"Poira",,0
110,FULLW,95326,"Poira",,0
110,FULLW,95329,"Poira",,0
110,FULLW,95335,"Poira",,0
110,FULLW,95340,"Poira",,0
110,FULLW,95342,"Poira",,0
110,FULLW,95347,"Poira",,0
110,FULLW,95353,"Poira",,0
110,FULLW,95357,"Bicholim",,1
110,FULLW,95364,"Bicholim",,1
110,FULLW,95367,"Bicholim",,1
110,FULLW,95373,"Bicholim",,1
110,FULLW,95381,"Bicholim",,1
110,FULLW,95386,"Bicholim",,1
110,FULLW,95391,"Bicholim",,1
110,FULLW,95399,"Bicholim",,1
110,FULLW,95408,"Bicholim",,1
110,FULLW,95413,"Bicholim",,1
110,FULLW,95418,"Bicholim",,1
111,FULLW,95320,"Amadi",,0
