route_id,agency_id,route_short_name,route_long_name,route_type
175,ktcl-goa-in,,"Panaji - Shemecheadvan via Dadachiwadi",3
176,ktcl-goa-in,,"Panaji - Harambol via Chopdem",3
183,ktcl-goa-in,,"Panaji - Kudchire via Mapusa,Bicholim",3
185,ktcl-goa-in,,"Panaji - Rivem via Mapusa,Valpoi",3
186,ktcl-goa-in,,"Panaji - Harambol via Candolim,Calangute",3
187,ktcl-goa-in,,"Panaji - Tiracol via Pedne,Malewad",3
188,ktcl-goa-in,,"Panaji - Akhada",3
190,ktcl-goa-in,,"Panaji - Calangute via Sangolda",3
191,ktcl-goa-in,,"Panaji - Surla via Sakhali,Chorla",3
192,ktcl-goa-in,,"Panaji - Volvoi",3
194,ktcl-goa-in,,"Panaji - Vagurme",3
196,ktcl-goa-in,,"Ponda - Codli Tisk",3
197,ktcl-goa-in,,"Panaji - Pethecha Wada",3
198,ktcl-goa-in,,"Panaji - Amthane via Bicholim",3
199,ktcl-goa-in,,"Panaji - Virdi via Mapusa",3
204,ktcl-goa-in,,"Panaji - Mopa via Pedne",3
205,ktcl-goa-in,,"Panaji - Verna Titan via Cortalim",3
206,ktcl-goa-in,,"Panaji - Rivem via Marcel,Valpoi",3
207,ktcl-goa-in,,"Panaji - Tambdi Surla via Ponda,Udalshe",3
210,ktcl-goa-in,,"Panaji - Malpon",3
212,ktcl-goa-in,,"Panaji - Calangute via Betim,Pilerne",3
214,ktcl-goa-in,,"Panaji - Keri, Pernem via Chopdem",3
216,ktcl-goa-in,,"Ponda - Shirshire",3
222,ktcl-goa-in,,"Ponda - Undir",3
223,ktcl-goa-in,,"Curchorem - Savordem - Solye via Kakorda",3
443,ktcl-goa-in,,"Panaji - Tambdi Surla via Ponda,Bolkarne",3
448,ktcl-goa-in,,"Panaji - Virdi via Assnora",3
451,ktcl-goa-in,,"Bicholim - Verna IDC via Marcel",3
458,ktcl-goa-in,,"Canacona - Matimol via Parvem",3
459,ktcl-goa-in,,"Canacona - Popaidando via Cajumol",3
464,ktcl-goa-in,,"Cuncolim - Velim via Murida",3
466,ktcl-goa-in,,"Curchorem - Savordem - Mollem via Collem",3
471,ktcl-goa-in,,"Curchorem - Savordem - Vade Colony via Rivona",3
485,ktcl-goa-in,,"Margao - Betul Cross via Cuncolim",3
487,ktcl-goa-in,,"Margao - Cab de Ram via Balli",3
492,ktcl-goa-in,,"Margao - Verna Cipla via Agnel Ashra",3
493,ktcl-goa-in,,"Margao - Cotta via Curtorim",3
500,ktcl-goa-in,,"Margao - Dramapur via Navelim",3
502,ktcl-goa-in,,"Margao - Don Khuris via Navelim",3
504,ktcl-goa-in,,"Margao - Harbour Vasco via Thana",3
507,ktcl-goa-in,,"Margao - Kalay",3
509,ktcl-goa-in,,"Margao - Kamorcond via Shiroda",3
511,ktcl-goa-in,,"Margao - Khargal via Poiginim",3
515,ktcl-goa-in,,"Margao - Kuskem via Canacona",3
517,ktcl-goa-in,,"Margao - Macasana via Curtorim",3
520,ktcl-goa-in,,"Margao - Molkopon via Kepem",3
521,ktcl-goa-in,,"Margao - Mollem via Curchorem",3
522,ktcl-goa-in,,"Margao - Neturlim via Curchorem",3
532,ktcl-goa-in,,"Margao - Pirla via Kepem",3
538,ktcl-goa-in,,"Margao - Sal via Usgao Tisk",3
539,ktcl-goa-in,,"Margao - Saljini via Curchorem,Neturlim",3
540,ktcl-goa-in,,"Margao - Sateribhat via Ponda",3
543,ktcl-goa-in,,"Margao - Sulcorna via Kepem",3
544,ktcl-goa-in,,"Margao - Tirvan via Canacona",3
545,ktcl-goa-in,,"Margao - Tudol Gaodongri via Canacona",3
546,ktcl-goa-in,,"Margao - Goa University Library via Cortalim",3
547,ktcl-goa-in,,"Margao - Vade Colony via Rivona",3
549,ktcl-goa-in,,"Margao - Val via Canacona",3
556,ktcl-goa-in,,"Margao - Velim via Assolna",3
557,ktcl-goa-in,,"Margao - Velsao via Majorda",3
558,ktcl-goa-in,,"Margao - Colva Beach",3
566,ktcl-goa-in,,"Panaji - Cuncoliem via Titan,Ponda",3
568,ktcl-goa-in,,"Panaji - Goa University Library via G.M.C.",3
