stop_id,stop_name,stop_lat,stop_lon,location_type
1472,"Tillari",15.760879516601562,74.068161010742190,0
1473,"Ker",15.788928985595703,74.023651123046880,0
1474,"Vaigantad",15.752358436584473,74.055450439453120,0
1475,"Morle",15.780504226684570,74.040618896484380,0
1476,"Ghotgewadi",15.764108657836914,74.049461364746100,0
1479,"Ribander Church",15.505258560180664,73.866004943847660,0
1480,"Old Goa Police Station",15.501013713100000,73.914848327600000,0
1481,"Old Goa Police Station",15.501079905700000,73.914965033500000,0
1482,"Corlim Petrol Pump",15.497123219500000,73.928024292000000,0
1483,"Corlim Petrol Pump",15.497009277343750,73.928131103515620,0
1484,"St. Pedro",15.499628067016602,73.892578125000000,0
1485,"St. Pedro",15.499522209167480,73.892761230468750,0
1486,"Kundaim",15.461614608764648,73.960021972656250,0
1487,"Kundaim",15.461666107177734,73.959892272949220,0
1488,"Mardol Masjid",15.439209938049316,73.975891113281250,0
1489,"Mardol Masjid",15.439150810241700,73.975784301757810,0
1490,"Konem",15.433612823486328,73.985839843750000,0
1491,"Konem",15.433570861816406,73.985725402832030,0
1492,"Dhavli",15.386261940002441,74.003669738769530,0
1493,"Dhavli",15.386326789855957,74.003440856933600,0
1494,"Borim Bridge",15.351964950561523,74.003959655761720,0
1495,"Borim Bridge",15.351985931396484,74.003814697265620,0
1496,"Chowgule Dock",15.343263626098633,74.001045227050780,0
1497,"Chowgule Dock",15.343320846557617,74.000877380371100,0
1498,"Fatorda Stadium",15.290565208000000,73.963526487400000,0
1499,"Fatorda Stadium",15.290577888400000,73.963766336400000,0
1500,"Colva Circle",15.283416748046875,73.957313537597660,0
1501,"ACGL Bhuipal",15.542263031005860,74.077598571777340,0
1502,"Karaswada Char Rasta",15.608930587768555,73.823822021484380,0
1503,"Karaswada Char Rasta",15.608891487121582,73.823677062988280,0
1504,"Madel Housing Board",15.618671417236328,73.835525512695310,0
1505,"Madel Housing Board",15.618544578552246,73.835639953613280,0
1506,"Sirsaim Copel",15.623173713684082,73.882598876953120,0
1507,"Sirsaim Copel",15.623117446899414,73.882385253906250,0
1508,"St.Clara H.S. Asnoda",15.619443893432617,73.897911071777340,0
1509,"St.Clara H.S. Asnoda",15.619347572326660,73.897850036621100,0
1510,"Karaswada, Taaki",15.611559867858887,73.827331542968750,0
1511,"Karaswada, Taaki",15.611375808715820,73.827407836914060,0
1512,"Manguirish Colony",15.616000175476074,73.830924987792970,0
1513,"Manguirish Colony",15.616147041320800,73.831222534179690,0
1514,"Omkar Colony, Madel",15.618738784000000,73.840663909900000,0
1515,"Omkar Colony, Madel",15.618968655300000,73.840487241700000,0
1516,"Tivim Banglyakade",15.621140480041504,73.850868225097660,0
1517,"Tivim Banglyakade",15.621042251586914,73.850959777832030,0
1518,"SBI, Cansa Bodiem",15.627123832702637,73.863754272460940,0
1519,"SBI, Cansa Bodiem",15.627045631408691,73.863746643066400,0
1520,"Blooming Bud, Cansa",15.626112937927246,73.869140625000000,0
1521,"Blooming Bud, Cansa",15.626023292541504,73.869338989257810,0
1522,"Assnora, Bainkade",15.619324684143066,73.896194458007810,0
1523,"Assnora, Bainkade",15.619402885437012,73.896324157714840,0
1524,"Bicholim Housing Board",15.601040840148926,73.938125610351560,0
1525,"Bicholim Housing Board",15.600926399230957,73.938056945800780,0
1526,"Bicholim Muslim Wada",15.586722373962402,73.954391479492190,0
1527,"Bicholim Muslim Wada",15.586627006530762,73.954460144042970,0
1528,"Zantye College",15.582761764526367,73.965034484863280,0
1529,"Zantye College",15.582707405090332,73.965042114257810,0
1530,"Adhar Hospital, Sarvan",15.577014923095703,73.979499816894530,0
1531,"Adhar Hospital, Sarvan",15.576871871948242,73.979568481445310,0
1532,"Tivim-Colvale Rasta",15.624467849731445,73.857818603515620,0
1533,"Tivim-Colvale Rasta",15.624416351318360,73.857933044433600,0
1534,"Zuarer",15.440391540527344,73.869781494140620,0
1535,"Zuarer",15.440485000610352,73.869834899902340,0
1537,"Vasco KTC Bus Stop",15.399393081665039,73.820739746093750,0
1538,"Vasco KTC Bus Stop",15.399442672729492,73.820228576660160,0
1539,"Auto Service",15.399370193481445,73.814033508300780,0
1540,"Auto Service",15.399256706237793,73.814125061035160,0
1541,"Thana",15.397976875305176,73.917251586914060,0
1542,"Thana",15.397994041442871,73.917160034179690,0
1543,"Ponda RTO Office",15.405110729000000,74.002510070800000,0
1544,"Ponda RTO Office",15.405121803283691,74.002784729003900,0
