D14608,"The last stop_time in trip D14608 is missing times."
L11738,"Timetravel detected! Arrival time is before previous departure at sequence number 47 in trip L11738"
L11740,"Timetravel detected! Arrival time is before previous departure at sequence number 13 in trip L11740"
L11740,"Timetravel detected! Arrival time is before previous departure at sequence number 15 in trip L11740"
L11740,"Timetravel detected! Arrival time is before previous departure at sequence number 9 in trip L11740"
L11787,"Timetravel detected! Arrival time is before previous departure at sequence number 27 in trip L11787"
L1233,"Timetravel detected! Arrival time is before previous departure at sequence number 43 in trip L1233"
L1233,"Timetravel detected! Arrival time is before previous departure at sequence number 46 in trip L1233"
L1233,"Timetravel detected! Arrival time is before previous departure at sequence number 58 in trip L1233"
L1233,"Timetravel detected! Arrival time is before previous departure at sequence number 64 in trip L1233"
L1234,"Timetravel detected! Arrival time is before previous departure at sequence number 36 in trip L1234"
L1234,"Timetravel detected! Arrival time is before previous departure at sequence number 39 in trip L1234"
L1234,"Timetravel detected! Arrival time is before previous departure at sequence number 41 in trip L1234"
L1234,"Timetravel detected! Arrival time is before previous departure at sequence number 43 in trip L1234"
L1234,"Timetravel detected! Arrival time is before previous departure at sequence number 47 in trip L1234"
L1234,"Timetravel detected! Arrival time is before previous departure at sequence number 49 in trip L1234"
L1234,"Timetravel detected! Arrival time is before previous departure at sequence number 53 in trip L1234"
L1234,"Timetravel detected! Arrival time is before previous departure at sequence number 55 in trip L1234"
L1234,"Timetravel detected! Arrival time is before previous departure at sequence number 56 in trip L1234"
L1234,"Timetravel detected! Arrival time is before previous departure at sequence number 59 in trip L1234"
L1234,"Timetravel detected! Arrival time is before previous departure at sequence number 64 in trip L1234"
L1235,"Timetravel detected! Arrival time is before previous departure at sequence number 29 in trip L1235"
L1235,"Timetravel detected! Arrival time is before previous departure at sequence number 43 in trip L1235"
L1235,"Timetravel detected! Arrival time is before previous departure at sequence number 46 in trip L1235"
L1235,"Timetravel detected! Arrival time is before previous departure at sequence number 58 in trip L1235"
L1235,"Timetravel detected! Arrival time is before previous departure at sequence number 64 in trip L1235"
L1236,"Timetravel detected! Arrival time is before previous departure at sequence number 36 in trip L1236"
L1236,"Timetravel detected! Arrival time is before previous departure at sequence number 39 in trip L1236"
L1236,"Timetravel detected! Arrival time is before previous departure at sequence number 41 in trip L1236"
L1236,"Timetravel detected! Arrival time is before previous departure at sequence number 43 in trip L1236"
L1236,"Timetravel detected! Arrival time is before previous departure at sequence number 47 in trip L1236"
L1236,"Timetravel detected! Arrival time is before previous departure at sequence number 49 in trip L1236"
L1236,"Timetravel detected! Arrival time is before previous departure at sequence number 53 in trip L1236"
L1236,"Timetravel detected! Arrival time is before previous departure at sequence number 55 in trip L1236"
L1236,"Timetravel detected! Arrival time is before previous departure at sequence number 56 in trip L1236"
L1236,"Timetravel detected! Arrival time is before previous departure at sequence number 59 in trip L1236"
L1236,"Timetravel detected! Arrival time is before previous departure at sequence number 64 in trip L1236"
L1237,"Timetravel detected! Arrival time is before previous departure at sequence number 31 in trip L1237"
L1237,"Timetravel detected! Arrival time is before previous departure at sequence number 34 in trip L1237"
L1237,"Timetravel detected! Arrival time is before previous departure at sequence number 46 in trip L1237"
L1238,"Timetravel detected! Arrival time is before previous departure at sequence number 31 in trip L1238"
L1238,"Timetravel detected! Arrival time is before previous departure at sequence number 33 in trip L1238"
L1238,"Timetravel detected! Arrival time is before previous departure at sequence number 34 in trip L1238"
L1238,"Timetravel detected! Arrival time is before previous departure at sequence number 36 in trip L1238"
L1238,"Timetravel detected! Arrival time is before previous departure at sequence number 39 in trip L1238"
L1238,"Timetravel detected! Arrival time is before previous departure at sequence number 40 in trip L1238"
L1238,"Timetravel detected! Arrival time is before previous departure at sequence number 43 in trip L1238"
L1238,"Timetravel detected! Arrival time is before previous departure at sequence number 46 in trip L1238"
L1239,"Timetravel detected! Arrival time is before previous departure at sequence number 46 in trip L1239"
L1239,"Timetravel detected! Arrival time is before previous departure at sequence number 50 in trip L1239"
L1239,"Timetravel detected! Arrival time is before previous departure at sequence number 63 in trip L1239"
L1240,"Timetravel detected! Arrival time is before previous departure at sequence number 32 in trip L1240"
L1240,"Timetravel detected! Arrival time is before previous departure at sequence number 35 in trip L1240"
L1240,"Timetravel detected! Arrival time is before previous departure at sequence number 36 in trip L1240"
L1240,"Timetravel detected! Arrival time is before previous departure at sequence number 39 in trip L1240"
L1240,"Timetravel detected! Arrival time is before previous departure at sequence number 43 in trip L1240"
L1240,"Timetravel detected! Arrival time is before previous departure at sequence number 45 in trip L1240"
L1240,"Timetravel detected! Arrival time is before previous departure at sequence number 46 in trip L1240"
L1240,"Timetravel detected! Arrival time is before previous departure at sequence number 48 in trip L1240"
L1240,"Timetravel detected! Arrival time is before previous departure at sequence number 49 in trip L1240"
L1240,"Timetravel detected! Arrival time is before previous departure at sequence number 53 in trip L1240"
L1240,"Timetravel detected! Arrival time is before previous departure at sequence number 63 in trip L1240"
L1242,"Timetravel detected! Arrival time is before previous departure at sequence number 32 in trip L1242"
L1243,"Timetravel detected! Arrival time is before previous departure at sequence number 21 in trip L1243"
L1243,"Timetravel detected! Arrival time is before previous departure at sequence number 22 in trip L1243"
L1243,"Timetravel detected! Arrival time is before previous departure at sequence number 26 in trip L1243"
L1243,"Timetravel detected! Arrival time is before previous departure at sequence number 32 in trip L1243"
L1245,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L1245"
L1245,"Timetravel detected! Arrival time is before previous departure at sequence number 19 in trip L1245"
L1245,"Timetravel detected! Arrival time is before previous departure at sequence number 24 in trip L1245"
L1245,"Timetravel detected! Arrival time is before previous departure at sequence number 30 in trip L1245"
