trip_id,arrival_time,departure_time,stop_id,stop_sequence
288,19:30:00,19:30:00,1692,1
288,19:40:00,19:40:00,1691,2
289,20:30:00,20:30:00,1692,1
289,20:40:00,20:40:00,1691,2
290,10:20:00,10:20:00,1692,1
290,10:30:00,10:30:00,1691,2
291,11:00:00,11:00:00,1692,1
291,11:10:00,11:10:00,1691,2
292,11:40:00,11:40:00,1692,1
292,11:50:00,11:50:00,1691,2
293,12:20:00,12:20:00,1692,1
293,12:30:00,12:30:00,1691,2
308,10:40:00,10:40:00,1691,1
308,10:50:00,10:50:00,1692,2
309,13:45:00,13:45:00,1691,1
309,13:55:00,13:55:00,1692,2
310,14:30:00,14:30:00,1691,1
310,14:40:00,14:40:00,1692,2
311,16:00:00,16:00:00,1691,1
311,16:10:00,16:10:00,1692,2
312,18:30:00,18:30:00,1691,1
312,18:40:00,18:40:00,1692,2
313,19:00:00,19:00:00,1691,1
313,19:10:00,19:10:00,1692,2
97,06:45:00,06:45:00,1694,1
97,06:50:00,06:50:00,1693,2
98,08:05:00,08:05:00,1694,1
98,08:10:00,08:10:00,1693,2
99,07:25:00,07:25:00,1694,1
99,07:30:00,07:30:00,1693,2
100,08:35:00,08:35:00,1694,1
100,08:40:00,08:40:00,1693,2
101,09:35:00,09:35:00,1694,1
101,09:40:00,09:40:00,1693,2
102,15:30:00,15:30:00,1694,1
102,15:35:00,15:35:00,1693,2
103,16:30:00,16:30:00,1694,1
103,16:35:00,16:35:00,1693,2
104,17:35:00,17:35:00,1694,1
104,17:40:00,17:40:00,1693,2
105,18:25:00,18:25:00,1694,1
105,18:30:00,18:30:00,1693,2
106,19:35:00,19:35:00,1694,1
106,19:40:00,19:40:00,1693,2
107,23:35:00,23:35:00,1694,1
107,23:40:00,23:40:00,1693,2
108,08:15:00,08:15:00,1693,1
108,08:20:00,08:20:00,1694,2
109,07:05:00,07:05:00,1693,1
109,07:10:00,07:10:00,1694,2
110,07:40:00,07:40:00,1693,1
110,07:45:00,07:45:00,1694,2
111,08:45:00,08:45:00,1693,1
111,09:50:00,09:50:00,1694,2
112,09:45:00,09:45:00,1693,1
112,09:50:00,09:50:00,1694,2
113,15:45:00,15:45:00,1693,1
113,15:50:00,15:50:00,1694,2
114,16:45:00,16:45:00,1693,1
114,16:50:00,16:50:00,1694,2
115,17:45:00,17:45:00,1693,1
115,17:50:00,17:50:00,1694,2
116,18:45:00,18:45:00,1693,1
116,18:50:00,18:50:00,1694,2
117,19:50:00,19:50:00,1693,1
117,19:55:00,19:55:00,1694,2
118,00:30:00,00:30:00,1693,1
118,00:35:00,00:35:00,1694,2
225,06:30:00,06:30:00,1693,1
225,06:40:00,06:40:00,1695,2
226,06:15:00,06:15:00,1693,1
226,06:25:00,06:25:00,1695,2
227,17:45:00,17:45:00,1693,1
227,17:55:00,17:55:00,1695,2
228,18:00:00,18:00:00,1693,1
228,18:10:00,18:10:00,1695,2
229,18:20:00,18:20:00,1693,1
229,18:30:00,18:30:00,1695,2
230,18:40:00,18:40:00,1693,1
230,18:50:00,18:50:00,1695,2
231,19:00:00,19:00:00,1693,1
231,19:10:00,19:10:00,1695,2
232,19:30:00,19:30:00,1693,1
232,19:40:00,19:40:00,1695,2
233,20:10:00,20:10:00,1693,1
233,20:20:00,20:20:00,1695,2
234,20:50:00,20:50:00,1693,1
234,21:00:00,21:00:00,1695,2
235,06:15:00,06:15:00,1695,1
235,06:25:00,06:25:00,1693,2
236,06:30:00,06:30:00,1695,1
236,06:40:00,06:40:00,1693,2
237,17:45:00,17:45:00,1695,1
237,17:55:00,17:55:00,1693,2
238,18:00:00,18:00:00,1695,1
238,18:10:00,18:10:00,1693,2
239,18:20:00,18:20:00,1695,1
239,18:30:00,18:30:00,1693,2
240,18:40:00,18:40:00,1695,1
240,18:50:00,18:50:00,1693,2
241,19:00:00,19:00:00,1695,1
241,19:10:00,19:10:00,1693,2
242,19:30:00,19:30:00,1695,1
242,19:40:00,19:40:00,1693,2
243,20:10:00,20:10:00,1695,1
243,20:20:00,20:20:00,1693,2
244,20:50:00,20:50:00,1695,1
244,21:00:00,21:00:00,1693,2
164,05:15:00,05:15:00,1696,1
164,05:20:00,05:20:00,1697,2
165,12:00:00,12:00:00,1696,1
165,12:05:00,12:05:00,1697,2
166,17:45:00,17:45:00,1696,1
166,17:50:00,17:50:00,1697,2
167,19:30:00,19:30:00,1696,1
167,19:35:00,19:35:00,1697,2
168,05:00:00,05:00:00,1697,1
168,05:05:00,05:05:00,1696,2
169,07:20:00,07:20:00,1697,1
169,07:25:00,07:25:00,1696,2
