route_id,service_id,trip_id,trip_short_name,direction_id
3,FULLW,215,trip,0
2,FULLW,216,trip,0
3,FULLW,217,trip,0
2,FULLW,218,trip,0
3,FULLW,219,trip,0
2,FULLW,220,trip,0
3,FULLW,221,trip,0
2,FULLW,222,trip,0
3,FULLW,223,trip,0
2,FULLW,224,trip,0
3,FULLW,225,trip,0
2,FULLW,226,trip,0
3,FULLW,227,trip,0
2,FULLW,228,trip,0
3,FULLW,229,trip,0
2,FULLW,230,trip,0
3,FULLW,231,trip,0
2,FULLW,232,trip,0
3,FULLW,233,trip,0
2,FULLW,234,trip,0
3,FULLW,235,trip,0
2,FULLW,236,trip,0
3,FULLW,237,trip,0
2,FULLW,238,trip,0
3,FULLW,239,trip,0
2,FULLW,240,trip,0
3,FULLW,241,trip,0
2,FULLW,242,trip,0
3,FULLW,243,trip,0
2,FULLW,244,trip,0
3,FULLW,245,trip,0
2,FULLW,246,trip,0
3,FULLW,247,trip,0
2,FULLW,248,trip,0
3,FULLW,249,trip,0
2,FULLW,250,trip,0
3,FULLW,251,trip,0
2,FULLW,252,trip,0
3,FULLW,253,trip,0
2,FULLW,254,trip,0
3,FULLW,255,trip,0
2,FULLW,256,trip,0
3,FULLW,257,trip,0
2,FULLW,258,trip,0
3,FULLW,259,trip,0
2,FULLW,260,trip,0
3,FULLW,261,trip,0
2,FULLW,262,trip,0
3,FULLW,263,trip,0
2,FULLW,264,trip,0
3,FULLW,265,trip,0
2,FULLW,266,trip,0
3,FULLW,267,trip,0
2,FULLW,268,trip,0
3,FULLW,269,trip,0
2,FULLW,270,trip,0
3,FULLW,271,trip,0
2,FULLW,272,trip,0
3,FULLW,273,trip,0
2,FULLW,274,trip,0
3,FULLW,275,trip,0
2,FULLW,276,trip,0
3,FULLW,277,trip,0
2,FULLW,278,trip,0
3,FULLW,279,trip,0
2,FULLW,280,trip,0
3,FULLW,281,trip,0
2,FULLW,282,trip,0
3,FULLW,283,trip,0
2,FULLW,284,trip,0
3,FULLW,285,trip,0
2,FULLW,286,trip,0
3,FULLW,287,trip,0
2,FULLW,288,trip,0
3,FULLW,289,trip,0
2,FULLW,290,trip,0
3,FULLW,291,trip,0
2,FULLW,292,trip,0
3,FULLW,293,trip,1
2,FULLW,294,trip,0
3,FULLW,295,trip,1
2,FULLW,296,trip,0
3,FULLW,297,trip,1
2,FULLW,298,trip,0
3,FULLW,299,trip,1
2,FULLW,300,trip,0
3,FULLW,301,trip,1
2,FULLW,302,trip,0
3,FULLW,303,trip,1
2,FULLW,304,trip,0
3,FULLW,305,trip,1
2,FULLW,306,trip,0
3,FULLW,307,trip,1
2,FULLW,308,trip,0
3,FULLW,309,trip,1
2,FULLW,310,trip,0
3,FULLW,311,trip,1
2,FULLW,312,trip,0
3,FULLW,313,trip,1
2,FULLW,314,trip,0
3,FULLW,315,trip,1
2,FULLW,316,trip,0
3,FULLW,317,trip,1
2,FULLW,318,trip,0
3,FULLW,319,trip,1
2,FULLW,320,trip,0
3,FULLW,321,trip,1
2,FULLW,322,trip,0
3,FULLW,323,trip,1
2,FULLW,324,trip,0
