stop_name,stop_code,latitude,longitude
CHALOSGAON FATA,CAOMN,20.57664,74.57037
CHAPAPADA,CAPA,20.592947,73.808697
CHAVATHA,CATKK,20.312246,74.168632
CHARANWADI,CCAADN,20.425641,73.714743
CHANDIKAPUR,CCADKN,20.402277,73.883129
CHANDGAON,CCADYN,20.15723,74.475918
CHIKADI FATA,CCIADN,20.380838,73.590707
CHINCHKHED,CCICNN,20.182665,73.993846
CHINCHAWAD,CCICTN,20.104781,73.477538
CHINTAMANWADI,CCITST,19.65151,73.49666
COLONY FATA,CCLNAA,19.63917,74.04281
COLONY,CCLNDN,20.2559,73.94503
CDO,CDO,20.011613,73.796878
CHEADI,CEDNN,20.00102,73.9369
CHETTEGOAN,CETNN,20.00485,73.95514
CHANDAWAD,CHAAD,20.330988,74.235284
CHAS,CHASSN,19.67857,74.08957
CHICHONDI,CHCH,20.020991,74.428126
CHACHER,CHCHR,20.538846,74.072882
CHACHADGAON,CHHG,20.220837,73.67337
CHIKADI FATA,CHKDFT,20.396461,73.588319
CHIMBALI,CHMA,18.7081,73.84836
CHIMNABARI,CHMI,19.89212,73.69574
CHINCHAVE,CHNCVM,20.392309,74.332169
CHONDI,CHNDI,20.370154,74.4815
CHANDORI / SAIKHEDA X RD.,CHNDRSX,20.0186,73.99451
CHINCHOLI FATA,CHOFS,19.88712,73.93865
CHATORI,CHORI,19.994655,73.996685
CHANKAPUR FATA,CHPF,20.47302,73.961971
CHAUSALA,CHSDN,20.41971,73.786379
CHAS FATA,CHSFT,19.67131,74.04894
CHOUSALE,CHSLE,20.399188,73.818138
CHUSALE VILLEGE FATA,CHSLFT,20.420301,73.785995
CHAUFULI,CHULN,20.19435,73.8893
CAHAUGAON,CHUSN,20.632751,74.251918
CHANDWAD,CHWD,20.28151,74.10191
CHIKALOHAL FATA,CIAOA,20.48767,74.509726
CHIRAI,CIASN,20.514045,73.718216
CHINCH PADA,CICKN,20.599712,73.946211
CHIKHALI,CIHAWY,20.489322,73.749664
CHIKHAL AMBA FATA,CIHCN,20.330055,73.964695
CHILLARVADI,CILDN,20.242782,73.764972
CHITEGOAN FATTA,CITEIA,20.0039,73.95136
CHAKAN BAZAR,CKBZ,18.76895,73.86669
CHAKAN,CKN,18.75458,73.86056
CHIKANI FATA,CKNIFT,19.663031,74.158637
CHANDIKAPUR,CKPR,20.33444,73.88617
CHAIRAL BARI,CLBR,20.517625,73.692938
CHELADI,CLD,19.935303,73.860794
CHILARPADA,CLDA,20.317706,73.617142
COAL DEPOT,CLDP,20.067054,73.805556
CHIKHALHOL,CLHL,20.613049,74.622916
CHINCHAKHED FATA,CNCHKFT,20.182878,73.995179
CHANDGIRI,CNDG,19.93721,73.91744
CHANDURI,CNDR,20.02404,73.99573
CHAS NALEGAON FATA,CNF,19.72044,74.13554
CANAL,CNL,20.045199,73.805626
CANAL,CNLN,20.1059,74.03318
CHANDVAD,CNVD,20.283532,74.107074
CHINCHKHEDFATA,CNXKFT,20.19585,73.93048
CHONDHI,CODHMW,20.370451,74.481473
CHONDHI,CODNN,20.37113,74.48146
CHANDANAPUR GAON,CPGN,19.50915,74.20044
CHIRAI BARI,CRBR,20.517852,73.69278
CHAKRATIRTH,CTTH,19.971901,73.589629
DHAKAMBA,DAANN,20.103596,73.806865
DHAMANGOAN,DAAYN,20.062926,74.580768
DAK BUNGALOW,DAKBNG,20.050767,73.68498
DHANORE FATTA,DANOEA,20.060972,74.469884
DHANOSHI,DAOIN,19.69173,73.76649
DHANORE,DAONN,20.0345,74.22903
DHAMODE,DAOYN,20.110771,74.495083
DHARANGAON FATA,DARAIA,20.07971,74.21232
DAREL,DAREL,20.363799,74.533187
DAREGAON,DARG,20.663328,74.675371
DATTA MANDIR,DATMD,20.427565,74.171029
DAVACHWADI,DAVC,20.10509,74.06434
DP NALA,DAYN,20.134185,74.65148
DUDI BUDRUK,DBD,19.73882,74.11987
DUBEREWADI,DBERIA,19.76541,73.97019
DAREBHANGI,DBGI,20.562077,74.014049
DUBERE,DBRE,19.78034,73.97522
DUBERE WADI,DBREWD,19.8143,73.98772
DIST. BORDER,DBRMN,20.67307,74.67878
DEOLALI CAMP,DCM,19.90645,73.82567
DHARANGAON,DDAASN,19.83802,74.15661
DHANER,DDAENN,20.345149,74.515124
DANDEKAR VASTI,DDARVS,20.228675,74.028753
DODHED NALA,DDESN,20.664739,74.290438
DUGAON,DDGOCN,20.291705,74.320777
DAHIDI,DDHDDN,20.353608,73.772015
DAHEGAON,DDHGNN,19.893423,73.644133
DAHIVAD,DDHVCN,20.226607,74.243323
DODI KHURD FATA,DDIIA,19.74568,74.113
DONGAON,DDNACN,20.298578,74.409454
DEOTHAN,DDOHAA,19.64004,74.04316
DAREGAON,DDRGCN,20.315067,74.388679
DATTA NAGAR,DDTAKN,20.483707,73.910446
DEVARPADA,DEAP,20.626426,74.641776
DEVARGAON,DEAR,20.07428,73.58196
DEODONGARA,DENRA,20.173966,73.326664
DEOLALI VILLAGE,DEOLEO,19.94374,73.83553
DAHEGAON FATA,DEONFTN,19.899263,73.624556
DEVTHAN,DEVTHN,20.015115,74.686733
DEWALA,DEWL,20.45866,74.2149
DIGHAVAD,DGACN,20.227298,74.280243
DEOGAON,DGNNN,20.02665,74.26269
DUGAON,DGOMN,20.291266,74.321583
DHANOLI,DHALI,20.570611,73.800305
DAHWA MAIL,DHANN,20.14919,73.89548
DHADOSHI,DHDHI,19.893057,73.515411
DHODAMBE,DHDMB,20.32861,74.06403
DEHGAON FATA,DHGAIA,20.312489,73.793477
DAHEGAON,DHGNCN,20.255817,74.440949
DAHEGAOM,DHGNN,20.31151,74.66108
DHAGEWADI,DHGSIS,19.86538,74.02639
DHAMNIWADI,DHII,19.69244,73.69675
DHULE,DHL,20.8972,74.771048
DHULE X RD.,DHLXRDD,20.850189,74.763478
DHUMODI,DHMDI,19.993346,73.506839
DHAMANGAON,DHMGIN,20.041884,74.556615
DHAMORI FATA,DHOF,19.96696,74.274951
DHUDGAON,DHUDGN,19.9947,73.767549
DAHIVI,DHVI,20.20201,73.830525
DAHWA TAPAA,DHWAAA,20.32251,74.202719
DHANAKWADI,DHWDNSK,20.138766,74.432343
DAHYANE,DHYNE,20.607203,73.97705
TALEGAON,DIDN,20.14163,73.81791
DINDORI NAKA / NIMANI,DINK,20.012506,73.795744
DINDORI FATA,DINO,20.317704,73.617115
DIST. BORDER,DISTTN,19.983395,73.453023
DIKSHI,DKHNN,20.06135,73.89103
DEOLA,DLAI,19.72136,73.64632
DALVAT/HATGAD FATA,DLAKNK,20.548866,73.828636
DEOL BARI,DLBR,20.599851,73.612809
DHOLBARE,DLRE,20.695058,74.145541
DALVAT,DLVT,20.558193,73.824761
DHAKAMBE,DMBE,20.10373,73.807
DHAM WAKI,DMWK,18.82882,73.87682
DONGARGAON,DNACN,20.322825,74.323019
DONGARGAON,DNANN,20.07922,74.23137
DHONDBAR,DNBR,19.767913,73.899077
DINDORI,DNDR,20.22579,73.83993
